Rome_W_3_3_23.txt,cat_3_3_22.txt,Val_S_3_3_23.txt,trevisa_3_3_23_norm.txt,gauchy_3_3_22.txt
Reliquum est ut declaremus ad quid bella omnia ordinantur,roman que nós declarem a què són ordonades totes les batayles,·finca nos de mostra concluyendo e ençerrado razones aque son ordenadas todas las batallas tan bien las de la mar commo las de la tierra · Et,it is to doynge that we declare wherto aile batailles ben iordeyned,que les battailles aucuneffois par la maulveistié de la gent
Sciendum ergo,Deu donques hom saber que,para esto saber conuiene de notar,Panne it is,sont ordonnees pour aucunes muvaises convoitises ou adfin de appaisier le enorme courouz de la gent
quod secundum philosophum non bellamus,segons lo philòsoph nós no bataylam,que segunt el philosofo non lidiamos,to wetyng as the philosofer meneth,Mais se les battailles sont droiturieres
,per ço,,,
ut bellemus sed ut pacem habeamus,que guerregem mas per ço que nós hagyam pau,por que lidiemos mas por que ayamos paz · Et,that we werryeth not for to haue werre but,elles doivent estre ordonnees a avoir paix
,,,for to haue pees,
,,,And bataille,
Potest ergo bellum ex nequitia hominum,donques bataylar per la malvestat dels hòmens,pues que assi es la batalla e la maldat de los omnes,and werre may be ordeyned of malice of men,et concorde entre la gent du peuple;
et ex cupiditate eorum ordinari ad lucrum vel ad aliquam aliam satifactionem irae vel concupiscentiae,e per la cupiditat d' aquells pot ésser ordonada a plaer o a alguna altra satisfació de ira o de cobegyança emperò,o nasçen de cobdiçia e la ordena algunan ganançia o la ordena a alguna otra vengança de saña o de cobdiçia mundanal,and by coueityse for to haue wynnynge other wreche for wrathe other som likynge,car tout ainsi comme sainnie et les autres medecines sont ordonnees a faire la santé du corpz de l' homme
Bella tamen si iuste gerantur,si les batayles són fetes justament,· Et enpero las batallas sy derechamente las fezieren,But netful batailles ben iordeyned,
et debite fiant ordinanda sunt ad pacem,e degudament elles deuen ésser ordonades a pau,e las tomaren conueniblemente son de ordenar,for pees,pareillement les batailles doivent estre ordonnees a faire paix
et ad quietem hominum,e a concòrdia dels hòmens,·a paz e assossiego de los omnes,and quyete of men and,et concorde entre les gens
et ad commune bonum,e a bé comú,e al bien comun ·ca,for the comune profit,Et tout ainsi comme nous veons
Nam sic se debent habere bella in societate hominum sicut se habent potiones,quar axí deuen ésser les batayles en la companya dels hòmens com los beuratges,assi se deuen auer las batallas en la muchedunbre de los omnes commo se han los xaropes,for batailles scholde be among men as drenches,que l' homme n' a mestier de sainnie ou medechine prendre ne de boire sirop
et phlebotomiae in corpore humano,e les phlebothomies o les sangües en lo cos humanal,e las sangrias en el cuerpo del omen ·ca,and blood letynge in the bodye of mankynde,
Nam sicut in humano corpore sunt plures humores,quar axí com en los cos humanal són moltes humors,assi commo en el cuerpo del omne son muchos humores,For in the bodye of man ben manye humours,quant les humeurs de son corps se concordent
sic in conuersatione et societate hominum est dare plures personas,axí en la conversació o en la companya dels hòmens cové donar moltes persones,assi en la conuerssaçion e en la conpañia de los omnes ay muchas perssonas,so among men ben manye persones,et sont egalles
et plures homines,e molts hòmens,e muchos omens,and manye men,pareillement gens
Et sicut quamdiu humores sunt aequati in corpore et non est ibi humorum excessus non indigemus potione,e axí com aytant com les humors són egualades en lo cos e no ha aquí sobre pugyament de humors nós no havem ops beuratge,e assi commo mientra los humores son ygualados en el cuerpo del omne e non sobrepuia el vno sobre el otro e non faze menester xarope,And as while the humours ben accordynge in the bodye vs nedeth nother drenche ne bledyng while ther is no passyng of humours,qui sont bien d' acord et conversent ensamble paisiblement
nec phlebotomia,ne sanguia ne sagna,nin sangria,,et avenamment
,axí,,,
sic quamdiu homines debite se habent,aytant com los hòmens han si mateix degudament,assi mientra los omnes estan ordenados commo deuen,so while men beren hem wel,
et unus non iniuriatur alteri non sunt committenda bella,e la un no fa injúria a l' altre no deuen ésser fetes batayles,e el vno non faze tuerto al otro non ay porque auer batalla ninguna,and non doth other wrong scholde no werre be nother bataille,et que l' un ne fait nul tort a l' autre n' ont mestier de battaille
,perquè,,,
Quare sicutper phlebotomiam,axí com per sanguia,·Por la qual cosa assi commo,Wherfore as by bledynge,Mais tout ainsi comme par saignier
,,por la sangria,,
,,e por el xarope es cortada,,
et potionem superfluitas humorum est eiicienda per quam turbatur sanitas corporis,e per beuratge la sobrefluytat de les humors deu ésser foragitada per a qual és torbada la sanitat del cos,e taiada la superfluydat de los humores por la quase enbarga la salut del cuerpo,and by drenches superfluyte of humours is ithrowe out the whiche superfluyte letteth heele of the body,et prendre medecines ont plusieurs foiz les mauvaises humerus esté hors du corps gettees
,,,,lesqueles empeschent la santé de l' homme
,axí,,,
sic per bella sunt hostes conculcandi,per batayles los enamichs deuen ésser aterrats,assi por las batallas son los enemigos de taiar,so by batailles enemyes scholde be bore adoon,pareillement par bataille on doit pugnir
et occidendi per quos impeditur commune bonum,e morts per los quals és empatxat o robat lo bé comú,e de cortar por los quales se enbarga el bien comun,and isleyne that leiten the comune profit,et occire les mauvaiz adfin que le bien commun
et pax ciuium,e la pau dels ciutadans,e la paz de los çibdadanos,and pees of citeseynes,et la paix
,,,,et concorde de ceulz du paÿs soit augmentee
,,,,et exilliés ceulz quy l' empeschent
,,,,Il est a sçavoir
,,,,que tous les enseignemens en quelque chose
,,,,que soit
,,,,lesquelz nous avons faiz en ce present traitié
et eorum qui sunt in regno,e d' aquells qui són en lo regne,e de todos los que son en el regno,and of hem that ben in the regne,ce est pour introduire
,,· Et,,
Supposito ergo Reges,Supposat donques,pues que assi es puesto que los Reyes,Panne gif kynges,et enseignier les rois
,que,,,
et Principes habere iustum bellum et hostes eorum iniuste perturbare pacem,·ls reys e ·ls prínceps hagen vista batyla o ·ls enamichs lurs injustament torben la pau e,e los prinçipes ayan batalla derecha et los sus enemigos turben la paz,and princes hauen riʒtful werre and bataille and ʒif here enemyes disturblen wrongfulliche the pees,et princes a gouverner eulz et leurs paÿs droiturierement en bonne paix
,,,,justice
et commune bonum,·l bé comú,e el bien comun a tuerto,and the comyn profit,et concorde;
non est inconueniens docere eos omnia genera bellandi,no és mal ensenyar a ells tos les maneres de bataylar,non es cosa sin guisa que nos ensseñemos,it is not inconuenyent to teche hem al maner fiʒtynge of bataille,car roiz
et omnem modum per quem possint suos hostes vincere quod totum ordinare debent ad commune bonum,e tota manera per la qual ells pusquen veure lurs enamichs la qual cosa tota deuen ordonar al bé comú,e demos doctrina a todos los prinçipes para saber todas las maneras de lidiar,and al maner doynge by the whiche thei mow ouercome here enemyes And al suche doynge thei scholde ordeyne for the comyn profit,et princes droituriers doivent toutes choses faire selon raison a l' exauchement du bien commun
et pacem ciuium,e a la pau dels ciutadans,e toda manera,and for pees of citeseyns,et pour le proufit
,quar,,,
Nam si intendant commune bonum,si ells entenen o procuren lo bé comú,,For gif thei desiren the comyn profit,et salut du peuple avec la paix
,,,,et transquilité des paÿs a la loenge de Dieu
,,,,et de la glorieuse Vierge Marie
et pacem ciuium,e la pau dels ciutadans,,and pees of the citeseyns,nostre advocate
,,,,Et se ainsi le font
merebuntur pacem illam aeternam in qua est suprema requies,ells merexeran o guanyaran aquella pau eternal en la qual és subiran repòs,,thei schulle haue that perpetual pees in the whiche is cheef quiete,ilz acquerront la paix pardurable c' est la gloire du ciel
,,,,en laquele a souverain repos
quam Deus ipse suis promisit fidelibus,lo qual ha promès als seus faels Nostre Senyor Déu,por que puedan vençer sus enemigos,and reste the whiche pees God graunteth,et delit incomparable laquele paix Dieu
,,,and byhotek,
qui est benedictus in saecula saeculorum,qui és beneyt en tots los segles ço és,,to his owne trewe seruantes that is iblessed for eueremore,qui est benoit en ciel et en terre
,,,,a promis a tous ses loiauz amis crestiens
,,,,Si luy devons bien humblement priier
,,,,que a ycelle nous doinst de sa grace participation
,eternament,,,
Amen,Amén,,Amen,Amen
