a,b,c,d,e
347|348	et dist qu il revendroit tost|— Par foi fet ele gabez nos a,et dist quil reuendroit tantost|par ma foy dist la dame il nous a gabes,Por buena fee dixo ella bien nos a engañado,et dist quil reuenroit tantost|par foy fait elle gabe nous a,e disse|che riverebbe tosto|— Per fé|diss ella
	,,,,il vorre giàb
349	Lors demanda cele de Honguefort quels armes il portoit,Lors demande celle de honguesford quelles armes il portoit,Que armas traia dixo la donçella de hongeforte,ors demande cele de hongrefort queles armes il portoit,sAllor domanda quella d'Unguelforte|che arme elli portava
	,,,,e la damigella gliel divisa
	,,,,“Al nome di Dio
350|351	et ele li devise|En non Dieu fet ele je te trovai hui matin a l entree d une forest mes il ne portoit mie tel escu com cil,et elle luy deuise|Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest|mes il ne portoit mye telles armes come celuy,e la donçella selas deuiso Pordios dixo ella yo lo falle oy demañana envna floresta|mas no traia el tales armas Como,Et elle li deuise Enon dieu fait elle iou le trouuai hui matin a lentree dune forest,diss ella|io il trovai ogi mattino all entrata d una foresta|ma e' non porta mica tale scudo come colui
352|353	que je quier|— Bele cosine fet cele de laiens il le puet bien avoir changié,que ie quiers|belle cousine fait celle de leans il les peult bien auoir changiez,aquel que yo ando buscando Buena Parienta dixo la donçella del castillo el las puede auer bien trocado,mais il ne portoit mie tels armes comme cils|que iou quier Bele cousine fait cele as de laiens|il lez puet bien auoir cangies,ch io cheggio|—eBella cugina|disse quella di là entro|elli il potrebbe poscia bene avere cambiato
354	et je vos di al mien cuidier,et ie cuide bien a mon aduiz,e yo vos digo ami cuidar,Et iou quit bien a mon escient,e vo dico al mio credere
355|356|357	que ce est cil|que vos querez :|si vos prie,que cest celuy|que uous queres sy uous prie,Que este es|el que bos buscades|e Ruego vos,que che soit cil|que vous queres|Si vous pri,che ciò est quelli cu' voi chiedete|Si vi priego
358|359	que vos me laissiés o vos aler|tant que trové l aions,que me lessiez aller auecques uous|tant que laurens trouue,que me dexedes convos yr fasta Quelo fallemos,que vous me laissies aler aueques vous|tant que nous laions trouue,che voi mi lasciate con voi andare|tanto che trovato l abiate
360	et lors savrai l acheison,,e sepa la rrazon,Et lors,allora saprò io la cagione per
361|362	por quoi il laissa mon ostel a tel ore|— Il m est molt bel fet cele de Honguefort,Il mest monlt bel dyt celle de honguesfort,Porque se fue demi castillo ental manera Mucho me Plaze dixo la donzella de ongeforte,si nous dira locoison pourcoi il a laissie mon ostel en tel maniere|Il men est bel fait cele de hongrefort,ch egli à mio ostello lasciato a tale ora|— E' me n è molto bello|disse quella d Unguelforte
363|364	que vos i viegniés|puis qu il vos plest,que uous uiengnies auec moy|puis quil uous plaist,Que vengades Pues vos plaze,que vous y ueignies|puis quil vous plaist,che vo' vegniate|da|che vo piace
365|366	Ensi remistrent la nuit laiens|et al matin,ainsi demeurent la nuyt leans|et au matin,ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron,Ensi remestrent cele nuit laiens|et lendemain,lnsi rimasono la notte là entro|e al mattino
367|368	si tost com eles ! virent le jor|si leverent,quant ilz uirent le iour,,quant il virent le ior sen alerent,si tosto com'elle vidono il giorno|si levarono
369|370	et se partirent del chastel|et entrerent en la queste de lor chevalier,si sen partirent du chastel|et entrerent en la queste de leur cheualier,e fueronse del castillo enla demanda del buen cauallero Agora dexa el cuento de fablar dellas,& partirent del castel|et entrerent en la queste del cheualier,e si partirono dal castello|si entrarono nella chesta del loro cavaliere
371	Mais or laisse atant li contes a parler d eles,Or lessons maintenant le compte de boors,,Mais ore laisse li contes a parler daus,Ma or lascia il conto atanto a parlare di loro
372	et de Boort,et des deux dames,e de boores,et de bohort,e di Boordo
373	et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic,et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine,e torna A Lançarote|Que entro enla floresta Serpentina,& retorne a parler de lancelot del lac|si comme il entra en la forest de la sapine,e ritorna a parlare di Lancellotto|là ov elli est entrato nella foresta di Sapernic
374	si com li contes a devise ariers,Comment lancelot emporta le corps de gallehaut,,si comme li contes a deuise,si come il conto à divisato
375|376	Or dist li contes qu il fist grant chaut le jor|que Lancelos entra en la forest de Sarpenic,que plusieurs cheualiers gardoient:,Asi como el cuento lo a deuisado Dize el cuento|que gran calentura façia el dia|que lançarote entro enla floresta,? Ne dist li contes|que trop grant chaut fist celui ior|que lancelot fu entres en la forest de la sapine,Gran caldo|ciò dice il conto|fece il giorno|che Lancellotto entrò nella foresta di Sarpenic
377	et por ce ne remest il mie qu il ne chevalchast jusqu à none;,et comment il rescouist la seur de meleagant|que len uouloit ardre iiii,mas poreso no finco|que el no andubiese todo el dia fasta nona,Et por chou ne remest il mie quil ne cheualchast iusques a nonne,e per ciò e' non rimase passo|che non cavalcasse infin qua a nona
378|379	si li avint ensi qu il n encontra home ne feme jusqu al vespre;|mais lors sans faille,xx,que no encontro ome ni muger|mas a hora de visperas sin falta,Si li auint ensi quil nencontra ne homme ne femme iusques a uespres|Mais lors sans faille,si gli avenne insi|che non incontrò huomo né femina insino a vespero|?Ma allora sanza fallo
380|381	si com il dut issir de forest|qui tot le jor li ot duré encontra une damoisele,xiiii,quando queria salir dela floresta|que todo el dia le auia durado encontro vna donzella,si comme il dut issir de la forest|si encontra vne damoisele,si come dovea uscire della foresta|che tutto giorno gli avea durata|si incontrò elli una damigella
382|383|384	qui molt faisoit grant duel|et chevalchoit I|palefroi noir a molt riehe lorain,Grant chault fist dit le compie le iour|que lancelot fut entre en la sapinoie,que mucho façia gran duelo|e andaua envn palafren morçillo,qui moult faisoit grant doel|si cheualchoit vn moult riche palefroy a vn moult cointe lorain,che molto facea gran duolo|e cavalcava in uno palafreno nero a molto ricca sambuca
385|386|387	et a molt cointe sele de l'oevre d Engleterre|Il salue la damoisele|et ele lui,et pour ce ne demoura il pas quil ne cheuauchast iusques a uespres sans rencentrer homme ne femme|Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy|Il salue la damoiselle|et lui dit,que traia vna muy Rica silla y freno|e el saluo la donçella|e ella ael donzella dixo lançarote deçidme|porque llorades,& a vne sele dengletere Il salue la damoisele|& elle li rent son salut,e a molto bella sella dell opera d Inghilterra|e a molto ricco freno|uno capelletto foderato di zendado in sua testa per lo caldo|E'saluta la damigella ed ella gli rende suo saluto molto cortesemente
388|389	Damoisele fet il|kar me dites s il vos plest,,si vos plaze çierto dixo la donçella|si yo supiese|que me vernia Prouecho enello yo voslo diria muy de grado çierto dixo donçella enmelo deçir no aueredes vos daño|si auos pluguiere|e vos dezidmelo,Damoisele fet il sil vous plaisoit iou sauroie volentiers pourcoi vous plores,Damigella|disse Lancellotto|ch or mi dite ora perché vo piagnete
	,,,,? — Certo
	,,por conuenençia,,
	,,que vos ayude yo a todo mi Poder en todas las cosas,,
	,,que hubieredes menester,,
	,,e espeçialmente enesta,,
390|391|392	por quoi vos plorés|— Certes sire fet ele se je i' cuidoie avoir preu je le vos diroie|— Damage fet il ll i avrez vos ja se Dieu plest,Dame dictes moy pour quoy uous plourez sil uous plaist Certes sire se ie y cuidoie auoir prouffit ie uous le diroie|Dommage fait il ny aurez uous ia se dieu plaist,por que vos llorades|Ca yo porne enello el mejor Remedio,Sire certes dist elle se iou y|qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist,sire|diss ella|s i vi credesse avere pro|si 'l vo dire' io|— Damaggio|disse Lancellotto
	,,,,non ci arete vo' già
393	mais dites le moi par covent que se je vos,car se ie uous,que puede ser|si es cosa,Dites le moi par tel conuent que|? se iou vous,se Dio piace|ma ditelme per convento che
394|395|396|397	puis aidier a vos esleecier je vos aiderai a mon pooir||donc le vos dirai je|ll est voirs,puis aider ie uous aideray a esclercir uostre cueur a mon pouoir|Par dieu sire denc fait elle le uous diray ie|Il fut uoir,que vos pueda ayudar Enel nombre de dios dixo la donçella pues vos os afincades tanto|que vos diga enque manera es,puis aidier a esclairier vostre cuer iou le ferai a mon pooir|Enon dieu sire fet elle|dont le vous dirai iou IL fu voirs,s i vo ne posso aiutare o consigliare|io vo n atrò di tutto mio podere|— ll A nome di Dio|diss ella|dunque il vo dirò io|Egli è vero
398|399	que Meleagans li fiz al roi Baldemagu ala a la cort le roi Artu|por la roine Genievre conquerre s il peust;,que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre,e que cosa es lo|porque yo lloro yo voslo dire,que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere,che Meleagante|il figliuolo del re Bando di Maguzo|andò uguanno alla corte del re Artù per la reina Ginevra conquidere|se potesse
400	et endementiers fist tant une damoisele,En dementiers fist tant une damoiselle,asi es|que fiço tanto vna donçella,Et endementres fist tant vne damoisele,eE dimentre|fece tanto una damigella
401	qui estoit,qui sa seur estoit,Que hera hermana de Meliangas,qui sa suer estoit,ch era sua serocchia
402|403	? sa suer qu ele geta Lancelot d une tor ou Meleagans l avoit mis en prison ne sai|por quoi,que elle iecta lancelot hors de prison de une tour la ou il lauoit mis,que saco dela prision a lançarote quelo tenia envna torre Meliangas no sabia|porque e,que elle geta lancelot de prison dune tour ou il estoit mis : iou ne sai porcoi Ouant elle lot deliure,ch ella gittò Lancellotto di Lac d una torre ove Meleagante l avea messo in pregione|non so perché
404|405	Quant ele l ot delivré|si le tint avec li tant qu il fu garis,Quant elle leust deliure elle le tint auec elle tant qu il fut gary:,quando el fue libre ella lo tubo en su poder fastaque fue guarido,si le tint aueques li,Quand ella l ebbe dilivero|si l tenne con esso lei non so quanto|tanto
	,,,,ch ella el guari
406	kar molt avoit eu mesaise en la prison,et moult y auoit eu mesaise,ca mucho auia enpeorado dela prision|e des,tant quil fu garis Car moult auoit eu mesaise en la prison|Et Io,ché molto avea avuto misaggio nella prigione
	,,,,Quand
407	et puis l envoia a la cort le roi Artu ou il ocist Meleagan ce savons nos or bien,et puis lenuoia a la court du roy artus la ou il occist meleagant,que fue guarido fuese ala corte del Rey Artur|e Mato alla a meliangas segund cuido,puis quant il fu garis|si lenvoia a la cort au roy artu ou il ochist melyagant chou sauons nous bien,e fu tornato a guarigione|sillo inviò alla corte del re Artù
	,,,,ov elli uccise Meleagant
	,,,,ciò sapiamo noi ora bene
	,,,Mais si tost,
408	Mais si tost com li parent sorent qu ele avoit Lancelot osté de la prison,mais tantost,que oystes|mas tan ayna,que si parent le sorent|que elle auoit lancelot gete de prison,Ma si tosto come i parenti di Meleagante seppono|ch ella avea tratto di pregione Lancellotto
	,,,,sì dissono
	,,,Si distrent,
409|410	si distrent qu ele l avoit fait|por Meleagan ocirre;,que ses parens sceurent,como sus parientes lo supieron|que ella auia hechado dela prision a lançarote Dixeron quelo auia fecho|por amor de Meliangas delo matar,que elle lauoit fet pour melyagant ocirre,ch ella l avea fatto per Meleagante uccidere
411|412	si le pristrent a force|et l acheisonerent de sa mort,que elle auoit iecte lancelot hors de prison ilz la occuperent de la mort de meleagant,e tomaronla afuerça|e pusieronla en prision|e dixeron,Si le pristrent a force|et locoisonnerent de sa mort,si lla presono a forza|e la cagionarono di sua morte
413|414	et distrent que s ele ne trovoit|qui l en desfendist,et fut dit|que se elle ne trouuoit|qui la deffendist,que si no fallare quien la defender de aquesto,Et distrent|que se elle ne trouuast|qui len deffendist,e dissono che|s ella non trovasse chilla difendesse
415|416	qu'il feroient de lui justice|si grant com l en doit fere de cele,que len feroit de elle telle iustice|que len deuoit faire de femme,que farian della grand justiçia Como deuen de fazer de muger,que on feroit de li autel iustice com on deueroit faire de femme,ch elli farebono giustitia di lei|si grande come l uomo dee fare di femina
417	qui son frere ocist,qui son frere auoit occis,que asu hermano auia muerto,qui son frere auoit ocis,che suo fratello uccide
418	Et ele dist qu ele troveroit bien,Et elle dit|que elle trouueroit bien,e ella dixo,Et elle dist quele le trouueroit bien,Ed ella disse
419|420|421|422|423|424	qui la desfendroit:|si mist jor d amener I|chevalier|por li desfendre|si s est|puis porchaciee en Pluisors liex,qui len deffendroit|Si lui fut iour determine de trouuer ung cheualier pour elle deffendre|Et elle a depuis pour chasse en plusieurs lieux,que bien fallaria quien la defendiese|e luego pusieronle dia señalado Parase defender|Por cauallero|e ella ymbio a buscar|por muchos lugares quien le defendiese,Si mist iour dun cheualier amener auant|pour li desfendre|Si sen est|puis pourchascie en pluisors lieus,ch ella il troverebbe bene chi ne la difenderebbe|sì ànno messo giorno d a menare uno cavaliere per lei difendere|si se n è poscia procacciata in più luogora
425	mais onques ne trova chevalier,mais oncques ne trouua cheualier,mas nunca a podido fallar Cauallero,mais onques ne troua cheualier,ma unque non trovò ancor cavaliere
426	qui ses armes en osast prendre contre celui,qui ses armes osast prendre centre celui,que armas quiera tomar contra aquel Cauallero,qui sez armes en osast prendre encontre celui,che sue armi osasse imprendere incontro a colui
427	qui apelee l avoit,qui lauoit appelle,que deste pleito la a Reptado,qui apelee len auoit,che apellato l à
428|429	Or|si est tant la chose alee,Or est tant la chose allee,e el Plazo se cumple Mañana ental manera,Ore est la chose tant alee,IOr|si è tanto la cosa andata
430|431	que li jors est aterminés a hui ;|si n a trové la pucele nul desfendeor,que le iour est ennuy termine:|si na trouue nul desfendeur,que si fasta ora de terçia no falla defensor tomaran della,que li iors fu atermines a hui|si na trouue nul desfendeour,che 'l giorno est aterminato a oggi|si non à ancor trovato la pulcella difenditore
432	et por ce dient li un,,luego vengança,Et pour chou dient li vn,e perciò dicono gli uni
433	et li autre qu ele est atainte del meffet,,e la vengança sera tal,& li autre quele est atainte del mesfait,e gli altri|ch ella è agiunta del misfatto
434	que l en li met sus :,,que la Quemaran,que on li a mis sus,che l uomo le mette suso
	,,,,Si ll anno giudicata
435|436	si l ont jugiee ce m est vis a ardoir le matin|et por ce qu il m en membroit or em ploroie je,et pource lont iugiee a estre arse au matin|et cest la cause|qui me fait plourer,e poresto lloro yo,si lont iugiee lal ardoir le matin,ciò m è aviso|ad ardere domattina|e per ciò|che me ne ricordo
	,,,,ora quand io vo vidi piagnea io
437|438|439	si durement|kar certes ele estoit une des plus cortoises damoiseles ! del monde|et une des plus vaillans,car elle estoit une des plus haultes damoiselles du monde:|et des plus uaillantes,asi tan fuertemente|porque aquella es vna delas altas donzellas del mundo agora me deçid donçella dixo lançarote,Et pour chou quil men ramenbroit ore ploroie iou Car elle estoit vne des plus hautes damoiseles del monde|& des plus uaillans CAr me dites,si duramente|ché certo ella era una delle più belle|e delle più cortesi damigelle del mondo|e una delle più valentri
440|441|442|443	|et s ele trovoit demain|qui la deffendist|dont ne seroit ele quite del jugement,OR me dictes damoiselle fait lancelot se elle trouuoit demain|qui la deffendist ne seroit elle pas quicte du iugement,si ella fallase tras quien la defendiese seria ella quita del todo señor dixo ella no se,dont damoisele fait lancelot|se elle trouoit demain O|qui le desfendist dont: ne seroit elle quite del iugement,Or mi dite|damigella|disse Lancellotto|s ella trovasse domane chi ne la difendesse|dunque non sarebbe ella cheta del giudicamento
444|445|446|447|448|449|450|451|452	que l en a fet|? — Sire fet ele je ne sai|—|Et est ce fet il gaires loing|que ele est|? — Sire|fet ele il n i a que|VI|lieues englesches,Sire dit elle ie ne scay|Et esse fait il gaires loingz dicy|Sire dit elle il ny a|que six lieues anglesches,E es muy lexos de aqui ado ella esta dixo lançarote señor dixo ella no ay|mas de aqui alla de seis leguas ynglesas|e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar dixo lançarote enla floresta de donseglorega dixo la donçella|e este camino vos lleuara alla,Sire fait elle iou ne sai|Et est chou fait il loing de ci|Sire fait elle il ni a|que vi lieues englescshles,che l uomo l à fatto||disse ella|i' non sO|— Est ciò|diss elli|guari lungi dov ella est|? — Sire|disse ella|e' non ci à|che sei leghe inghilesche
453|454	Se vos leviés demain matin vos i seriés ains prime|— Ou le porrai je fet il trover,et se uous partiez demain matin uous y seriez demain a prime|Et ou la pourroie ie fait il trouuer,si lo supieredes guardar Pues a dios vos encomiendo dixo el,Se vous moues demain matin vous y seres dedens prime|Et ou le porroie iou fait il trouuer,:se vo' vi levate domane mattino vo' vi sarete inanzi prima|—E ove la potrò io|disse
	,,,,trovare
	,,,,? Al castello
455|456|457	? — Al chastel a fet ele de Floego|et cis chemins vos i menra droit se vos le volés tenir|— Or vos commant a Dieu damoisele fet il,En la forest de florega:|et ce chemin icy uous y menera tout droit se uous le sauez tenir|Il se part de la damoiselle|et la commande a dieu,e luego se partio el vno del otro|e la donçella yua llorando,En la forest fait elle de floregas|Et chis chemins vous y menra tot droit se vous le saues tenir Or vous commanch iou a dieu damoisele fait il,diss ella|di Fleego|e questo camino vo' vi menerà tutto diritto se voi il volete tenere|— Or vo comando a dDio|damigella
	,,,,diss ell
458	Si s em part atant,,,si sen torne atant,Si si parte atanto
459|460	et cele s en vet faisant son duel|Et il chevalche tant qu il vint fors de la forest,Et celle sen reua faisant son deul|et il cheuauche tant quil uint hors de la forest,e la donçella yua agora tanto porsu camyno fastaque salio dela floresta,Et cele sen uait faisant son doel|Et lancelot cheualche|tant que il vint hors de la forest,ed ella se ne va faccendo suo duolo|ed e' cavalca|tanto che viene fuori della foresta
461	si vit devant lui une maison de religion,si uoit deuant lui une maison de religion,e llego avna casa de Religion,si voit deuant lui vne maison de religion,si vide davanti lui una magion di riligion
462|463	et il torne cele part|por herbergier,Il tourne celle part pour hebergier,e el fue alla|por aluergar,si torne cele part pour herbergier,Elli torna in quelle parti per albergare
464	Et quant il i vint,Et quant il uint la,,Et quant il vint la,e quand e' vi viene
465|466	si trueve a la porte IlII|des freres,si trouua deux freres,e fallo ala puerta dos frailes,si trouua|ij|freres,si truova alla porta quatro de' frati di là entro
467	qui ja avoient chanté complie,qui auoient chantee complie:,que auian dicho conpletas,qui auoient cante complie,che avieno già cantato compieta
468|469	et estoient venu hors|? al serain;,et ilz estoient uenus hors au serain,e estauan al ayre,Si estoient venu au serain,e erano venuti di fuori al sereno
470|471	si saillent encontre lui|por fere descendre,si saillent encontre lui pour le descendre,e ellos fueron contrael porlo ayudar a desçender,si saillent sus encontre lui|por lui desarmer,S salgono incontro a llui per lui discendere
472	et dient,et dient,e dixeron,et dient,e dicono
473	que bien soit il venus;,que bien soit il uenu,que vien fuese venido,que bien soit il venus,che bene sia elli venuto
474|475	si le font entrer laiens|et li demandent s il a mengié,aprez lui demandent sil menga huy,e Metieronlo enel monesterio|e los frailes le dixeron señor auedes,si le font entrer laiens|et li demandent ssill malnlga hui,; sì 'l fanno entrare là entro|e lo domandano s egli à mangiato
476|477	et il dist|que nenil,Il dit|que nenny,oy comido no señores dixo el,Et il dist|que nenil,ed e' dice|che non
478	et il font erraument mettre la table a,et ilz font incentinent mettre la table le pain,e luego mandaron ellos quele pusiesen la mesa,Et il font maintenant metre la table a lor sergans,ed e' fanno isnellamente mettere le tavole
	,,,& la nape ;,
	,,,& puis le pain,
479	mais il dist qu il ne mengera devant qu il ait esté al mostier b lar il n i entra hui,et le uin dessus|mais il dit qu il ne mengera deuant quil ait este au monstier dire ses oraisons,mas lançarote no quiso|luego comer ante dixo,& le vin dessus|Et il dist quil ne mangera mie deuant ce quil ait este el moustier,ma e' dice|che non mangerà davanti
480|481	|por orer,car il ny auoit huy este Lors entre en leglise,que entraria enla yglesia|por fazer oraçion,si y dira sez orisons|Car il ni auoit hui este|Lors sen entre en leglise pour orer,ch egli abbia stato nel mestieri|ché non v entrò tre giorni avea|Allora entrò nella chiesa per adorare
482	et en ce qu il se fu agenoilliés,et ainsi quil fut agenoullons,e desque el entro enla yglesia finco los ynojos,Et en ce quil su a genoillons,e'n ciò|che si fu aginocchiato
483	si regarde a destre,si regarde a dextre partie,e el façiendo oraçion cato asu diestro,si regarde deuers destre partie,si riguarda a destra
484|485|486	et voit unes prones d argent trop richement fetes a floretes d or|et a oisials|et a bestes,et uoit unes prones dargent moult bien faictes a florectes dor a bestes,e vio vnos arcos de plata muy Ricamente fechos a flores de oro|e a bestias de diuersas maneras,& voit|j|prones de fer|& dargent moult bien faites a flor cestes: dor|& a bestes,e vide uno intagliamento d argento troppo riccamente fatto a fioretti d oro|e a uccelli|e a bestie
	,,,& a oisiaus de diuerses manieres,
487|488	et dedens avoit V|chevaliers armés les hialmes es testes les espees es mains ausi apresté de deffendre,et a oiseaulx de diuerses manieres Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains ainsi prestz a deffendre comme se len uoulsist assaillir,e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas|e las espadas enlas manos,& dedens auoit|v|Cheualiers armes de toutes armes|si com de heaumes en testes,e di dentro avea v|cavalieri armati|? Elli isguarda lo ntagliamento
	,,,& despees es mains,
	,,,& aussi pres de euls desfendre,
489|490	que se l en les volsist asaillir|De ce se merveilla molt Lancelos ;,De ce se merueille lancelot,como si quisiesen defender de algunos quelos quisiesen acometer Desto se marauillo mucho lançarote,que se on les volsist assaillir|Ne chou sesmerueille moult lancelot,che troppo est ricco|molto lungamente|api ciò|si maraviglia molto Lancellotto
	,,,,si vide
	,,,,ch e cavalieri avieno gli elmi in testa
	,,,,le spade in mano
	,,,,altresi aprestati d asalire come se l uomo gli dovesse manomettere
491	si se drece erraument,si se dresse sur piez,e fue alla contraellos,& se drece em pies,si diriza isnellamente
492|493	et vet cele part|si salue les chevaliers,et ua celle part|et salue les cheualiers,e ellos le dixeron señor bien seades venido,si vait cele part|et Dsalue lez cheualiers,e va in quelle parti|si saluta i cavalieri
494|495	et il dient|que bien soit il venus,Et ilz dient|que bien soit il uenu,e el les rrindio sus saludes,Et il li dient|que bien soit il venus,e dicono|che ben sia elli venuto|
	,,,,ov'era lo nta
496|497	Et il entre dedens les prones par un petit huisselet a|et esgarde les prones,et lancelot entre dedens les prones par ung petit huysset|et regarde les prones,e lançarote cato vn poco los arcos,Et lancelot entre dedens les prones,elli ella glio|per un piccolo uscio di ferro|e guarda lo ntaglio
498	qui tant sont riches qu il ne cuide pas,qui tant sont belles|et riches quil ne cuide pas,Porque heran muy Ricos|e muy fermosos,qui tant sont beles|et riches,che tanto est ricco|che non crede passo
	,,,Et regarde lez prones quil ne quide pas,
	,,que vien cuidaua,,
499	que nus rois les peust esligier;,que ung roy les peust esligier,Que vn Rey No los podia tales façer|e el,que vns roys lez peust esligier,che nullo re il potesse fare fare
500|501|502	puis voit delés les chevaliers une tombe la plus riche|qui onques fust fete par home|kar ele ert tote d or fin a chieres pierres precioses,et uoit delez les cheualiers une tombe la plus riche|que encques feust ueue de nul homme:|car elle estoit de fin or a pierres precieuses,asi Catando vio dentro enlos arcos vna muy Rica tumba qual nunca tal viera el ni ome del mundo|que hera toda de oro fino|e de piedras preçiosas,Et voit deles lez cheualiers vne tombe la plus riche|que onques fust ueue de nul cheualier Car elle estoit toute de fin or a pierres precieuses,e vide dallato il cavaliere una tomba|la più ricca|ch unque fosse veduta per huomo|ch ell era tutto d oro fine a pietre pretiose
	,,,qui valoient,
503	qui molt valoient miels d un grant roialme,qui plus ualloient|que ung grant royaume,que estaua toda labrada de diuersas maneras,j|grant royalme,che più valieno d uno gran reame
504	Se la tumbe fu de grant bialté nient ne monte la bialtés envers la richece,Et se la tombe fut de grant beaute|ce nestoit riens enuers la grant richesse:,e de muy muchas cosas de figuras,Et se la tombe estoit de grant biaute|noient fu de la grant rikece,Se lla tomba fu di gran biltà|niente fu della biltà inverso la riccheza dond ella era piena
505|506	dont ele estoit|et avec ce estoit ele la greignor,et auec ce estoit elle la greigneure qu il uist encques,e de otras cosas|que tal tumba de tal manera nunca viera ni ome del mundo|que la non ouiese visto no podria asmar la fermosura,dont elle estoit|Et auec tout chou estoit elle la plus grande quil eust ao onques,e Pntorniata|e con esso ciò era ella la magiore
507	que Lancelos eust onques veue :,,que enella auia de tales cosas|como enella estauan,mais veue,che Lancellotto avesse unque veduta
	,,,,Molto lungamente riguarda Lancellotto la tomba
	,,,,che troppo gli sembia oltragiosamente piena di gran riccheza
	,,,,si sarebbe a suo aviso al re Artù
508	si se merveille molt,si est moult esmerueillie,e don lançarote se marauillo,Si sen est trop merueillies,e molto
509	qui puet estre li princes,qui pouoit estre le prince,e dixo entresi mesmo Quien podria ser el prinçipe,qui li princes pooit estre,si maraviglia chio può essere el principe
510	qui dedens fu mis,qui fut illec mis,que enella yaçia,qui illueques estoit mis,che di dentro fu messo
511	,Et il demande aux cheualiers,e lançarote pregunto alos caualleros,Et il demande as cheualiers,Quand egli à molto isguardato|si domanda
	,,,,e cavalieri
512	qui sont iluec,qui illec sont de quoy ilz seruent,e dixo señores,que il font illueques,che fanno nel luogo
	,,,,Sire
513|514|515|516|517|518|519	Sire font il nos gardons le cors|qui en ceste tumbe est|qu'il n en soit portez fors de çaiens;|si somes|V|por garder le de jors par nuit en i a autres|V,Sire nous gardons le corps|qui gist dedens ceste tombe qu il ne soit porte hors de ceans|Si sommes cinq pour le garder chacun iour:|et par nuit en y a autres cinq,que estades aqui façiendo señor dixeron los caualleros nos guardamos el cuerpo|que yaze enesta tumba quelo no lleuen dende aqui|e nos lo guardamos çinco caualleros de dia,Sire font il nous gardons le cors|qui chi gist en ceste tombe quil nen soit portes de chaiens|Si sommes|v|por lui garder cascun ior|Et la nuit en y a autres|v,dicono elli|noi guardiamo il corpo|che in questa tomba giace|che no ne sia portato fuori di qua entro|; sì siamo qui v|per lui guardare ciascuno giorno|e per la notte ce n à altri cinque
520|521	qui font autretel servise comme nos faisons de jors|—,qui font autel seruice comme nous faisens de iour,e otros çinco de noche,qui font autretel seruice comme nous faisonz de ior,che fanno altrettale servigio come noi facciamo il giorno|— E perché
522|523|524|525|526|527	Et por quoi fet Lancelos avez vos poor qu il n en soit portés|? — Sire font il|por ce|que uns des freres de çaîens|qui molt est preudom|et de sainte vie nos dist n a encor gaires,Et pour quoy auez uous paour fait lancelot quil ne soit emporte|Sire fent ilz pource|que ung des freres de ceans nous dist na encores gaires,que no façemos y al Auedes miedo dixo Lançarote|que voslo lleuen de aqui señor dixeron ellos|si que vn fraile de aqui|que mucho es buen ome|e de sancta vida nos a dicho,Nt de coi aues vous paor fait lancelot|Sire font il vnz des freres de chaiens|qui moult est de sainte vie Nous dist na encore gaires,disse Lancellotto|avete voi paura|che non ne sia tratto|? — Sire|dicono elli|per ciò|che uno de frati di qua entro|che molto est produomo|e di santa vita|no disse
	,,,,non à ancora guari
528|529	que uns chevaliers vendroit ceste part|qui a force l en osteroit,que ung cheualier uendroit ceste part|qui a force len osteroit,que vn cauallero vernia aesta tierra,que vns cheualiers vendroit chaiens|qui par sa force len osteroit,ch uno cavaliere verebbe in queste parti|ch a forza ne l trarebbe
530	et fors de cest païs l en feroit porter,et hors de ce pais le feroit porter,que por fuerça lo lleuaria desta tierra,et le feroit mener hors de cest pais,e 'l manderebbe fuori di questo paese
	,,,,a nostri occhi vegendo
531	Et nos gens de ceste terre voldrions miels morir qu il fust remués d entre nos :,et nos gens de ceste terre aymeroient mieulx mourir|que il fust remue dentre nous,e las gentes desta tierra querrian antes ser muertos|que el fuese lleuado de entre nos,Et nos gens de ceste terre voldroient miex morir quil fust remues dentre nous,E noi di questa terra voremo meglio morire|che fosse rimutato di tra noi
532|533	por ce|si le gardons issi com vos veez lar li preudom i nos dist,car le preudomme nous dist,e poreso lo guardamos|asi como vedes,Et por chou le gardons nous ensi comme vous vees,perciò|si l guardiàn noi|insi come vo' vedete
	,,,,ciascuno giorno
	,,,,e ciascuna notte
534	que li chevaliers ne demoreroit pas qu il ne venist — Or me dites,que le cheualier ne demouroit pas quil ne uenist|Or me dictes fait lancelot,ca el ome bueno nos dixo|que no tardaria mucho el buen cauallero,car li preudom nous dist ke li cheualiers ne demourroit pas ke il ne uenist Or me dites fait lancelot,ché l produomo no disse|che l cavaliere non dimorebbe passo a venire
	,,,,o
	,,,,! ee Or mi dite
