a	b	c	d	e
180|181|182	et damoiseles a grant plenté|dont les unes karolent|et les autres dancent	et damoiselles a grant plante dent les unes dansoient|et les autres deuisoient	e corros de Dueñas|e de donçellas|e otros dançaban	& damoiseles a grant plente|dont lez vnes dansoient	
			e bailauan		
183	et les autres joent de divers geus;	et les autres iouoient de diuers ieux	e otros jugauan|e façian juegos de muchas maneras	et lez autres karoloient|& baloient	
				et gieuent de diuers ius	
184|185	si estoient acesmees|et vestues richement	si estoient toutes uestues moult richement	e todos andauan vestidos muy Ricamente	Si estoient toutes vestues trop richement	
186	et avec venoient chevaliers jusqu a X	et auec elles uenoient des cheualiers iusques a dix	entonçe vinieron contraellos	Et auec elles venoient cheualier iussPtis elques a|X	
187	qui molt faisoient grant joie;	qui faisoient moult grant ioye	mas de diez caualleros faziendo muy gran [	qui menoient la plus grant ioie	
188	et quant il voient Boort	Et quant ilz uirent boort	]	et dient a bohort	
189	si crient tuit encontre lui Bien viengniés sire	si lui crierent tous|Bien uiengniez uous	e deçian todos avna voz vien venga el mejor cauallero	Sire bien veignies vous soi tous lez hommes del monde	
190	qui nostre dame avez delivres de mort	qui nostre dame auez rescousse de mort	que anuestra señora libro de muerte	qui nostre dame aues rescousse de mort	
191	et rescosse des mains a ses enemis	et deliuree des mains de ses ennemis	e libro anos denuestros enemigos	et deliuree des mains a sez anemis	
192	Et lors font descendre lor dame	Et lors font descendre leur dame	entonçe los desçendieron a muy gran gozo	Et lors font descendre la damoisele	
193|194	et lui avec :|si ne vos porroit nus conter la joie	et lui auec|Si ne pourroit nul homme compter la grant ioye	e alegria façiendo con boores	et lui auekes|si ne porroit nus conter la grant ioie	e gli fanno grande gioia come a colei
195|196	qui li fu fete|	qui leur fut faicte	asi que el se marauillaua ende mucho	qui li fu faite EN tele ioie	che loro dama era
197|198	et a tel feste enmainent Boort jusqu al palés del chastel|si le font desarmer ou il volsist ou non	A telle ioye menerent boort au pallais	e las Mesas fueron puestas	& en tele feste com vous oliles enmenerent bohort en vne moult bele sale	
199|200	et il le fist a envis|kar il n estoit encore mie tens de herbergier	Et quant ilz eurent mengie la damoiselle lui demanda comment il auoit nom	e asentaronse a comer|ca mucho lo auian menester	et les tables furent mises	ma molto
201|202|203|204	Ensi remist Boors laiens|si li firent grant joie li un|et li autre|Et quant il orent mengié	Et il respendist quil auoit nom boort le essillie|et si estoit cousin germain de lancelot du lac	e desque ovieron comido la donçella le pregunto|e dixo le señor|si vos pluguiere querria saber vuestro nombre	si alerent mangier|Et quant il orent mangie	si maravigliarono di ciò
205|206	a damoisele demande a Boort comment il avoit non ét ¡l dist qu il avoit non Boors li Essilliés|Et vos fet il	Et uous dame	porque sepa dezir quien me fiço tanto bien donçella dixo boores yo he nombre boores el deseredado|e vos donzella dixo el	La damoisele demanda bohort comment il auoit non	
207|208	damoisele quels est li vostre nons|? — Sire fet ele	quel est uostre nom|Sire fait elle iay nom benigne de glacedon	como auedes nombre señor dixo la donçella yo he nombre velniña de glaçendo		
209|210|211	je ai non Blevine de Glocedun issi a non cist chastials ou nos somes|A ces paroles qu il disoient es vos I escuier|qui laiens entre	et ce chasteau cy ou nous sommes a aussi nom glacedon|ces parolles quilz disoient uecy ung escuyer|qui entra leans	que asi a nombre el castillo enque estamos Ellos|ansi fablando llego vn escudero porla puerta	Et il li dist quil auoit non bohors li escillies	
212|213|214	si s agenoille devant la damoisele|Dame fet il la damoisele de Honguefort vostre cosine vos salue|et vos mande qu ele vient herbergier o vos	si se agenoille de uant la damoiselle dame fait il madame de honguesfort uous sallue|et uous mande|que elle se ueult ennuyt logier auec uous	e finco los ynojos ante la donçella|e dixole señora la donçella de hongeforte vos ymbia a saludar		
215	Et quant cele l entent	Et quant celle lost			
216	si saut sus		e ymbiavos deçir		
217	si liee		que esta noche ven conbusco albergar		
218|219|220	et si joiose|que nule plus|et demande al vaslet ou ele est	si demande a lescuyer ou elle est dame fait il a demye lieue de cy	e quando la donçella esto oyo fue muy alegre|e pregunto al escudero		
221|222|223|224|225|226	Dame|fet il a mains de demie lieue pres de ci|Et ele fet maintenant sa sele metre|et dist qu ele ira encontre li;|si monte|et maine o li	et elle mente sur son cheual auec quatre cheualiers	do era señora dixo el escudero yo la dexe a media legua de aqui|e la donçella mando|luego ensillar		che lla vidono impiagnendo
227|228|229|230	VI|chevaliers|et Illl|en laisse	et quatre escuyers pour aller a lencontre de la dame	e fuese con seis caualleros ala rreçebir		Si lla inchiesono
231|232	por fere compaignie a Boort ;|si se part atant de laiens	et si laisse quatre cheualiers auec boort pour luy faire compagnie mes boort	e dexo a boores con quatro caualleros porle fazer conpaña		
234|235	qui les noveles a of̈es de cele de Honguefort|si ne set	qui les nouuelles a entendues de la dane de honguesfort ne scait	e quando boores sopo quela donçella de ongeforte venia no sabia		
236	que fere	que faire	que façer		
237|238|239|240	kar se il remaint laiens ne puet estre|que l en nel conoisse|et ce ne voldroit il|por rien:	si pense longuement|car il ne ueult pas estre congneu	ca no queria aquelo conoçiese|si pudiese ser		
241|242	si pense longuement a ceste chose|Quant il ot une piece pensé	et quant il a longuement pen se	e penso		
243	si se drece en estant	si se lieuue en son estant	asi enesto mucho		
244|245|246	et demande ses armes tost|et isnel|Sire font cil	et demande ses armes|Sire sont ceulx	e a cabo de Pieça demando sus armas señor dixeron los caualleros		
247|248|249|250	qui avec lui estoient qu en volés vos fere|? — Je me vueil|fet il un poi aler esbatre jusqu a cel boschel|si revendrai orendroit	qui auec luy estoient pour quoy les demandes uous ie me uueil fait il armer pour moy aller esbatre iusques en ce bochel mes ie reuendray tantost	que conel estauan|que para|que las queria yo me Quiero armar dixo boores Porme yr a solazar a aquel montezillo|e luego me tornare	Et vous dame fait il comment est vostres nons	
251|252	Cil n osent son commandement refuser|si aportent ses armes	et ceulx nosent reffuser son commandement lors luy apportent ses armes	e ellos no osaron su voluntad contradeçir		
253	et il les prent		e truxeronselas		
254	Et quant il est armés	et quant il fust arme	e el se armo|e desque fue armado salio porvn postigo		
255	si monte en son cheval a		que estaua contrael monteçillo|e no quiso		
256	si se part de laiens par une posterne par devers le boschel ne ne velt	si sen part de le ans par la posterne uers ung petit bosc|et ne ueult	que fuese conel ninguno|e desque fue vn poco alongado Metiose porvna floresta		
257	que nus li face compaignie	que nul luy face compagnie	que vido muy espesa|quanto el cauallo lo pudo lleuar		
			e el		
			ansi yendo oyo vna canpana tañer		
			e luego cuido quela tañian en alguna hermita		
258	Et quant il est l		e el fue alla		
259|260	poi eslongiés del chastel|si torne a destre vers une forest qu il voit haute	Et quant il est ung pou eslongnie il tourne uers une forest grande	e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir|e acogiolo|quando vido|asi venir asu parienta		
			e a todas su conpaña		
			porque vido		
			que hera cauallero andante		
			e el mesmo lo ayudo a desarmar		
			e desque lo ovo desarmado cogio dela yerua Parael cauallo		
			Ansi finco enla hermita		
			e la donçella de glaçedon andubo tanto fastaque encontro ala señora de ongeforte		
			e ellas se saluaron		
			e la donzella De glazedon se marauillo mucho		
261	et espesse	et espesse	e preguntaronle la Razon|porque hera aquello		
			asi e la donzella de ongeforte selo conto todo de cabo a cabo Como le contesçio conel cauallero		
262	et s en vet al ferir des esperons;		e mi buena parienta bien sabed		
263	si se fiert en la forest	si fiert des esperons	que el es el|mas fermoso cauallero		
			que nunca vi		
264	et eirre tant qu il li anuite ;	et sen entra dedens	e nunca quedare de andar|asi fasta quelo falle		
			ca sabed		
			que el es el mejor cauallero Del mundo		
265	et lors escote	et cheuaucha	e mas cortes		
			e es muy niño		
266	si ot une cloche soner	tant que la nuyt uint|Il ouyt une cloche sonner	e quando me mienbro dela descortesia|e dela villania		
			que contrael fiz el corazon seme quiere quebrar enel cuerpo Pardios mi buena parienta dixo la dueña de glozendo mucho vos a acasesçido buena ventura		
267	et il sot bien tantost	si pense tantost	e ami non a venido menor|e luego le conto		
			como auia acaesçido conel Cauallero		
268	que c estoit hermitages:	que cest ung hermitage	que conella albergara		
269	si s en torne cele part	il sen alla celle part	mas bien sabed|que es el		
270	et descent a l uis	et puys frappa a luys	mas fermoso cauallero		
		et lermite le rechoit a belle chere			
271	si apele	et le desarma	Que Nunca vi		
		et puys cueillit de lerbe uerte pour le cheual			
272	et li hermites li oevre son huis	et fist le lyt au cheualier|Insi est boort demoure auec lermite	e es muy mançebo|e luego le conto las façiones del tanto quela dueña de ongeforte entendio		
		et la damoiselle de glacedon a tant alle quelle encentra celle de honguesfort			
273	si a le reçoit a bele chiere	si sentresalluerent	que hera el cauallero|que ella andaua buscando		
		Et quant celle de glacedon uoit sa cousine			
		et toute sa mesgnie ainsi atournee elle sen merueille monlt sy lui demande lachoison			
274	et le desarme il meismes	et celle luy compte toute la uerite|et dist	e mucho sele tardaua delo ver|asi fueron ental manera fablando		
