a	b	c	d	e
				ch elli possa agiugnere	
				e cavalli per colpi di lancia	
				e di spada	
896|897	si a ja dit|que il me menra avec lui	Si ma dit quil me menra aueques lui	e mi amigo a dicho|que me lleuara consigo	si l fa|si bene in tutte maniere|che tutti dicono	Si a dist qͥl me menera auec lup
898	et que j avrai le chapel s il onques puet	si aurai le capel sil onques puet	e que abre el capillejo|si pudiere	ch elli ne dee avere el lodo|e l pregio	⁊ que ie auray le chappel sil peult:
				leE quella	
				ch era amica di Tavagnino disse alla nipote sdella reina	
				: Damigella	
				non voi diceva io vero	
				? Ciò est colui allo scudo bianco	
				che tutto vince	
				— A nome di Dio	
				disse quella	
899	Si vos pri mesire Gauvain par la foi	Si vous pri fait elle a monseignor Gauuain par la foy	e por esto vos rruego mi señor don galuan porla fee	vo' parlate ancor troppo tosto|ché per aventura	si uoꝰ prie monsigneur gau par la foy
				s elli el fa ancor bene	
900|901|902	que vos devés le roi Artu vostre oncle|que vos i viengniés demain|et aidiés a mon ami	que vous deues a uostre oncle le roy artu|que vous aidies a mon ami	que deuedes avuestro tio el rrey artur|que vos vayades demañana a ayudar ami amigo	tal cosa potrà avenire|che l non farà|si bene sempre|:|e perciò no ne dovete voi mica tanto dire|che voi non ne poteste disdire	que uous de ues a mõsieur urẽ oncle lerop artus q̃ uous soyes demain pour aider a mõamp|Et ie ose biẽ dire
903|904|905	Et je sai bien que se vos le volés fere nos en avrons le victoire|et vos l'onor lar par vos vaintra mes amis le tornoiement se il le vaint|Et il dist qu il ira molt volentiers	Et iou sai bien se vous li voles aidier quil aura la victoire del tornoiement: A ches paroles vint en la cambre li cheualiers|Si estoit vns cheualiers bien fais de cors	e yo se bien|que si quisiesedes fazer todo vuestro poder|que auredes ende la victoria	e che voi non voi ne ripenteste|— “ l non me ne ripenterò|diss ella|già|ch io so bene|ch elli el farà sempre meglio	que se nous auõs uostre aide q̃ nous en aurõs lonneur|et la uictoire|car par uouc uaincra mon amp le tournoiemẽt|Et il dist quil fuy aidera uoulentiers
906|907|908|909|910|911|912	puis qu ele l em prie;|et cele l'en mercie molt A ces paroles vint en la chambre li sires de laiens|et c'estoit|I|grans chevaliers bien fes de cors|et blons comme laine|et avoit non Tanaguins li Blons	grans|& quarres de tous membres|Si estoit blans comme laine	e mas la honrra|ca porvos vençera mi amigo el torneo muy de grado dixo don galuan le ayudare pues melo rrogades|e la donzella selo agradesçio mucho|e ellos|ansi fablando entro enla camara el señor|e el hera gran cauallero|e bien hecho de cuerpo|e hera blanco|como la nieue|e auia nombre tanagios el blanco	che non fa ora|;|e se voi il conosceste altresi bene com io fo|vo nol direste già	et ellelen mercie monlt doulcement Ees parolles uint le sire en la chambie D|et cestoit ung cheualier biẽ fait de corps|et estoit blonc cõment laine
913|914	por ce qu il estoit L|des plus blons chevaliers de tot le païsa		porque hera el|mas blanco cauallero de toda la tierra	ciò|ch elle parlavano insi|si uscirono del castello ben dugento cavalieri armati	et auoit a nõ ta naguis le blõt pour ce qͥl estoit ung des blõ¬ hõmes du monde
915|916|917	Et quant s amie le voit venir|si se drece encontre lui|et li dist Veez ci mon seignor Gauvain	Et quant samie le uit|si se drece encontre lui|et li dist sire vees chi monseignor Gauuain	e quando su amiga lo vio venir leuantose contrael|e dixole señor vedes aqui a don galuan	;|si pungono per atare alla masnada del re	Et quãt samie le uoit ue¬ nir sy se adresche cõtre luy|et luy dist|sire uees cy mõsigneur gauuain
918	qui nos aidera demain al tornoiement	qui demain vous aidera au tornoiement	que vos ayudara mañana al torneo	che già follegiavano duramente	qui uoꝰ aidera demain au tournoiemẽt
919|920	Et quant cil l entent|si cort a mon seignor Gauvain les bras tendus	Et quant li cheualiers lentent|si cort sus lez bras tendus a monseignor Gauuain	e quando el cauallero aquello oyo fue contra don galuan los braços abiertos alo abraçar	ché troppo malamente gli menava monsignor Galvano	Et quãt celluy lost|si court a mõsieur gau|les biae tendus
921|922	et dist|que bien soit il venus sor tos les chevaliers del monde	& li dist|que bien fust il uenus sor tous lez cheualiers del monde	e dixole señor vos seades el vienvenido sobre todos los caualleros del mundo		et luy dist q̃ bien soit il uenu
923	Et lors s asient		e luego se asentaron	E quand	et lors se assirent
					et cõmen
924|925	si commencent a parler de lor aferes|et s entracointent al miels qu il sevent ;		e començaron de fablar de muchas cosas	e sono venuti nella asembiata	cherent a parler de leurs affaires|et sentee a¬ coinctent au mieulx qͥlz peuẽt
926	Et mesire Gauvain li demande comment il a non	Et mesires Gauuain li demande comment il auoit non	e don galuan le pregunto|como auia nombre	si lfanno	Et monsieur gauuain lup demãde cõmẽt il a anom
927	et il li dist	Et il dist quile auoit non thanaguis	e el selo dixo	si bene	et il se nõme
		?			
928|929	et puis li conte del tornoiement|qui doit estre ensi com la damoisele li avoit dit ne il ne cuidoit pas qu il le seut encore;	puis li conte del tornoiement|qui deuoit estre|tout ensi com la damoisele li auoit dit|quar il ne quidoit pas quil le seust encore	e despues le dixo|como auia de ser el torneo|ansi como la donçella selo auia dicho	ch avanti el ferro di lor lance non rimane cavaliere in sella	puis lup cõpie du tournoicmẽt qͥ doibt estre tout aĩsi cõmẽt la damoiselle luy auoit dist
930	puis li requiert qu il l en art;	si li requiert quil li ait	e el cauallero no creya	che non facciano tutto immantanente versare alla terra	Si luy prie qͥl soit en son aide
931|932|933	et mesire Gauvain dist|que si fera il volentiers|Voire fet cil en non Dieu	Et mesires Gauuain dist quil li aidera volentiers|Grans mercis sire fet li cheualiers	que don galuan le quisiese ayudar|e rrogole mucho quelo ayudase|e galuan selo otorgo muy de grado	Si gli distrugono|si ch a forza conviene alla gente del conte guerpire alla piaza	⁊ mõsieut gauuain fui accorde uoulẽtiers
934|935	dont ne dot je mie|que je n en aie l onor	Dont ne doute iou mie	e el cauallero selo agradesçio mucho|e dixo agora non dudo de auer la honrra Del torneo pues vos sodes enmi ayuda	ché troppi sono coloro|che contro a lloro sono	Gire fait le cheualier dõc ne doubte ie pas q̃ ie naie sõneur du tournoiement
936|937	puis que vos serois en m aide;|et si m aït Diex ie vos en sai meillor gré		e ansi me ayude dios yo lo preçio|mas que	Si si fossono fugiti del tutto quando monsignor Galvano gli soccorre	⁊ si maist dieu ie uoꝰ en scap meilleur gre
938|939|940|941|942|943	que se vos me donissiés le meillor chastel|que vostre oncles li rois ait|a Atant assistrent al souper|si mengierent molt lieement|et molt furent lié cil de laiens de la pramesse|que mesire Gauvain lor avoit fet	que iou naie lonor del tornoiement|A tant sassistrent au souper|si furent moult lie cil de laiens de la promesse|que mesires Gauuain lor auoit faite	si me diesedes el mejor castillo|que tiene el rrey artur vuestro tio entonçes se dexaron enesto fablar|e fueron a çenar con gran plazer dela promesa|que don galuan auia fecho	si bello|che tutti se ne maravigliano di sua prodeza|si si isforza tanto a qualche pena|che suoi compagnoni sono rimasi con esso lui	que se uous me eussiez donne le meilleur chasteau|qui soit a uostre õcle le roy arturs|Oult furẽt ioyeux ceulx de leans de la promesse de monseigneur gau uain
944|945	kar grant fiance avoient en lui de vaintre le tornoiement|	Car grant fiance auoient en lui de uaintre le tornoiement|A lendemain matin	ca muy gran fiança auia de vençer el torneo|e otro dia de mañana	Allor viene all esembiata uno fratello del conte di Brocce|si menò con esso lui bene trecento cavalieri|;	car plus grant fiãce auoient en lui quilz nauoiẽt en nul des autres
946|947|948|949	quant il furent atorné chescuns a sa maniere|si fist li chevaliers vestir sa damoisele|et atorner|si richement	quant il furent atorne sen partirent|et la damoisele se uesti|si richement	quando ouieron de yr al torneo la donçella se vistio muy rricamente|que otra mejor non podria estar guarnida|como aquella	e quand egli apressarono sicché non v ebbe|che del fedire|si venono|si rodamente	Et lendemain fist lecheua lier uestir la damoiselle moult richement:|car il sauoit bien
950|951|952	que nule ne peust estre plus cointement ne plus bel|kar il savoit bien qu ele seroit veue de haus homes|et de riches barons:	que nulle femme ne fu onques miex|comme cele|qui bien sauoit|que elle seroit ueue de haus hommes|& de haus barons	que sabia|que seria de muchos altos omes ser Mirada	ch elli ricacciarono adietro la masnada del re insino a llor licce|PMa nel luogo|si ritenono come coloro|che molto erano produomini se non fossono|si pochi	que elle seroit ueue des haulx|et des riches barons
953	et ele estoit sans faille une des plus beles damoiseles de tot le pars	Et elle estoit sans faille vne dez plus hautes femmes del pais	ca ella hera sin falta vna delas|mas hermosas donçellas dela tierra	si soferirono una pezza quelli|che di presso gli cacciavano	Et elle estoit sans faulte une des belles damoiselles du monde
954|955|956|957|958	Et lors s em partirent|et errerent tant qu il vindrent desus Ie tertre ;|si virent en la valee desos le tornoiement|qui estoit ja commenciés en une molt bele praerie|qui bien duroit II	Et li cheualier errerent tant quil vinrent sor le haut tertre|si virent en la ualee desouz le tornoiement|qui ia estoit commenchies en vne moult bele plainne	e entonçes se partieron del castillo|e andubieron tanto|que llegaron a vn gran otero|e vieron enel llano el torneo|que hera ya començado envna muy fermosa llanura	E 'n ciò|ch egli erano a|si gran miscapo|si venne a valle il prato uno cavaliere armato d une arme vermiglie	Lors se partirent|⁊ errerent tant quilz uindrent des¬ sus ung tertre|⁊ uirẽt q̃ le tournoiemẽt estoit ia commence en une moult belle praetie qͥ dien duroit sept licues de lang
960|961|962	et une de lé a|Et li rois Narbaoc ne portoit pas armes celui jor ains avoit fet drecier en mi les pres unes loges de fust ou la roine sa feme|et les dames	Et li roys marboars ne portoit mie celui ior armes Ains auoit fait drechier vnes loges en mi les pres ou sa femme	que bien duraua siete leguas y en luengo Nareuan no traia aquel dia armas antes hauia hecho hazer vnos cadaalsos de madera|do la rreyna su muger|e otras dueñas	e fu	⁊ une de laige|⁊ le roy marborac ne portoilpas le iour armes aĩ¬ cois auoit fait drecer une loge en mples pres|ou la royne sa sẽme estoit|⁊ toutes les damcs
963|964	et les damoiseles del pais s estoient totes alees apoier|por le tornoiement veoir;	& celes dou pais estoient assises|por le tornoiement regarder	e donçellas dela tierra estubiesen donde podrian vien ver el torneo		⁊ les damoiselles du pais pour ueoir le tour noiemẽt
965|966	si avoit iluec une niece la roine|qui disoit oiant totes qu ele avroit le chapel	Si auoit illueques une niece la royne|qui disoit oiant toutes les dames|& les damoiseles|que elle aueroit le capel	e la rreyna auia vna sobrina|que estaua ay|e dixo ante todos çierto yo abre el capillejo		Ei y auoit ilsec la niepce a la ropne qͥ disoit oy ans touies q̃ elle auroit le chapeau
967|968	kar ses amis le faisoit miels|que nus	& que sez amis le faisoit encore le miex :|que nul	e mi amigo lo fara aqui mejor oy	si solo	⁊ q̃ son ami le faisoit mieulx q̃ nul qͥ y fut en cores uenu
969|970|971|972|973	qui encore fust venus a l assamblee|Mais quant I'amie Tanaguin i fu venue|et ele or̈ la vantance|que la damoisele faisoit|si dist qu ele ne disoit mie voir	que elle en ueist|Mais quant lamie thanaguis y fu uenue|et elle oy lauantanche|que la damoisele faisoit|Si dist|que elle ne disoit pas voir	que todos los otros|e quando la amiga de tanaguy lo oyo lo|que la donçella deçia dixole amiga çierto non Deçides verdad	che non menava con esso lui scudieri né garzone	⁊ fa damoiselle amie de tanaguis ouist la uentance q̃ elle auoit faicte|si dit|que ille ne disoit pas uerite
974	Por quoi	Et porcoi damoisele fet elle	porque dixo ella		
975|976|977|978	? fet cele|Por ce fet l'autre qu il i a meillor chevalier de lui|qui orendroit i est venus|—	por chou fet lamie thanaguis quil y aura meillor cheualier|qui orendroit y est uenus	por que dixo la amiga de tanagui|porque aqui abra otro mejor cauallero|que no es el	;	Pour quop fist elle Pour ce quil y aura ẽcores meilleur cheualier q̃lui
979	Et qui est il a fet la damoisele	Et qui est ce fait la damoisele	e quien es dixo la donçella		Qui est il fist elle
980	— Par foi fet cele son non ne savrés vos pas ore mes vos le porrois conoistre par tens	par foy fait elle le non de lui ne sasulres vous mie ore|Mais vous le porrois par tamps connoistre	por buena fe dixo ella su nonbre no sabredes agora|mas vos lo podredes agora conoçer		Par mon chief dit la mie de tanaguis le nom ne saurez uous ores pas|mais uoꝰ le pourrez cõgnoistre par tẽps
			por tiempo		
981	Lors est cele molt corocie;	ors fu cele moult corocie	e la donçella fue muy sañuda		Sis fut celle moult courroucee
982|983	si dist a la damoisele qu ele s en viegne apoier delés li|si li mosterra le chevalier qu ele dist	si dist a la damoisele quele veigne seoir les lui : pour veoir le cheualier	e dixole porçierto|si el cauallero|que deçides es tal yo vos matare		si dist a la damoisesse q̃ elle se uenist appuier ẽpres elle|si lui mõstrera le cheualier Uoulentiers dit elle|Gi uient
984	et cele i vet	que elle dist	e me vengare devos		⁊ uoit poin
		Et cele y uait maintenant			
985|986	si regarde les chevaliers|qui poignoient amont	qui regarde lez cheualiers|qui poignent amont	e començo a catar todos los caualleros arriba	si cominciò a sguardare el torniamento	drt les cheualiers amõt
987	et aval	& aual	e ayuso		⁊ aual
988	Et mesire Gauvain demande a Tanaguin de	Et mesires Gauuain demande a thanaguis			⁊ messire gau uain demãde a tanaguis de
989|990	quel part il se voldra torner;|et il dist qu il velt estre encontre la gent le roi	quel part il se volra torner|Et il dist quil voloit estre encontre lez gens le roy	que ay estauan	e vide le genti del re	quel coste il ueult tournoier|Et il dit quil uoul droit estre cõtre les gens du toy
992|993	et cil quens avoit le tornoiement enpris encontre la gent le roi a|Quant il se sont torné de cele part ou il vuelent	Et quant il sont torne cele part ou il se voloient torner	e galuan pregunto atanagui de qual parte queria ser contra el Rey entonçes se fueron parar de aquel cabo		Mr bien soit fait messire gau uain
994|995	si poignent|por aidier a lor compaignons	si poignent ensamble|por aidier a lor compaignons	que hera contrael rrey		Si poingnent pour aider a leurs cem¬ paignons
996	et mesire Gauvain se met es rens	Et mesires Gauuain se met es rens	e don galuan se adreço		Et messire gauuain sen ua es rẽs
997	por joster	por iouster	por justar		
998|999|1000|1001|1002	Et maintenant vint encontre Iui I|chevaliers molt preus;|si s adrecent li uns a l autre tant com cheval pueent aler|Mesire Gauvain abat le chevalier|si felenessement	et maintenant vint encontre lui vns cheualiers moult preus|si sadrecent li vns encontre lautre quamque li cheual porent corre|Li cheualiers brise sa lance|et mesires Gauuain le fiert|si durement quil le trebuche du cheual a terre	e luego vino contrael vn cauallero mucho buen ome|e dexaronse yr el vno contrael otro|quanto los cauallos los pudieron lleuar|e don galuan derribo el cauallero muy brauamente	che molto bene|si difendieno	Et maintenãt uint ung cheualier contre lui|si sadrescent luncontre lautie tant comme les cheuaulz peuent courir Mõseigneut gaunain auatist fe cheualier|si fellonnessemẽt
1003	que al ehaoir ot cil brisié le bras senestre	et au caoir quil fist brise son bras	ansi que Dela caida ouo el braço quebrado		que au cheoir eut le bras rompu:
			e don galuan se partio del cauallero		
1004	Et il laisse maintenant corre as autres l espee nue en la main	Et mesires Gauuain laisse corre as autres	e metio mano ala espada|e Començo a ferir a quantos fallaua a caualleros		⁊ il laisse courir errã ment aux autres lespee en lamain
1005|1006	si fiert|et abat devant lui quanqu il ataint	si fiert|et abat quamquil encontre	e cauallos|por golpes dela lança|e dela espada	come a	si fiertpar Partie mi|⁊ par tout
1007|1008	si trebuche chevaliers|et chevals par cops de lance ou d espee		que no hera sino marauilla		⁊ trehuche deuãt lui cheualiers|⁊ cheuaulx par coup despee ou de lance
1009|1010|1011	si point amont|et aval ne ne refuse nul|qui le weille atendre :	Si le fait	e el yua ayuso|e arriba|e no rrehusaua a ninguno quelo quisiese attender		I ne refuse nul|qui a coup le uurille attendre
1012	si le fe	si bien	e el lo façia tanbien		si le fait
1013|1014	si bien en totes manieres|que tuit dient qu il en doit avoir le los	que tout dient quil en doit auoir le los	que todos deçian|que el deuia de auer el preçio		si bien q̃ tous dient quil doit auoir le pris Telle
1015|1016	et le pris|Et cele	et le pris	e el loor De aquel torneo|e la amiga de tanagui Dixo ala sobrina dela rreyna	si gran miscapo	
1017|1018|1019	qui estoit amie Tanaguin dist a la niece le roi Damoisele ne vos disoie ie voir|? Ce est cil a cel escu blanc|qui tot vaint	Et celle ki estoit amie au cshleualier thanaguis|? dist a la nieche le roi ki deles li estoit|Damoisielle ne uous disoie ie uoir cou est cil a cel escu blanc cil ki tant en uaint	que delante Della estaua donçella no vos dixe yo verdad aquel es el cauallero del escudo blanco|que todo lo vençe		qui estoit amie de tanaguis dit a la ni¬ epce de la royne|Damoisellent uous disoie ie pas bien|Cest celui a cest escublãc qͥ uaĩcra tout
1020	— En non Dieu fet cele vos parlés encore trop tost lkar par aventure se il le fet orendroit bien tels chose puet avenir qu il ne le fera mie sempres	En non dilelu fait elle uous parles encore trop tost|Car par auenture sil le fait orendroit bien tel cose puet auenir kil nel fera mie	el que yo deçia porçierto dixo ella vos fablades mucho ayna|ca por auentura el lo façe agora		Et el fe lui respont
1021	si bien:	si bien sempres	ansi bien pero tal cosa puede auenir		Tellechose pourra auenir quil ne fera pas sidien
1022|1023	et por ce n en devés vos mie tant dire|que vos n i puissiés recovrer	& pour cou ne deues uous pas tant dire ke uous ni puissies recouurer	que no lo fara|ansi tan bien|como de comienço|e porende no deuiades desde agora tanto dezir		⁊ pour ce ne uꝰ en repentissiez ia|Ie ne men repẽtiray ia dit
1024	et que vos ne vos en repentois	& ke uous ne uous en repentes	que despues vos arrepintiredes yo no me arrepintire dixo ella|ca yo se bien		et le
1025	— Je ne m'en repentirai ja fet cele lkar je sai bien qu il le fera sempres miels qu il ne fet ore;	Ie ne men repentirai ia fait elle|car iou sai bien kil le fera sempres mieus kil ne fait ore	que todavia lo fara mejor|que el no lo façe agora		car ie scay bien quil le fera tousiours debien en mieulx
1026	et si vos le conoissiés ausi bien comme je fas vos nel desdiriés ja	Et se uous le counissies autressi bien comme iou fach uous ne le desdiries ia ANsi parloient ensamble du bien fait monseignor Gauuain	e si vos lo conoçiesedes vos non desdiriades esto		⁊ se uous le congnoissiez aussibit comme ie faiz uous ne uous en desdiriez ia
1027|1028|1029|1030|1031	En ce qu il parloient issi|si issirent del chastel bien II|cens chevaliers armés;|si poignent|por aidier a la maisnie le roi	et endementres quil parloient ensi|si issirent del castel iusques a|ij cheualiers armes pour aidier a la maisnie le roy	que yo digo Como el cauallero vermejo entro enel torneo en ayuda del Rey Ellas|ansi fablando salieron del castillo vien doçientos caualleros armados|para ayudar ala conpañia del Rey	cavaliere vermiglio	En ce quil z parloient ainsi|si issirent du cha¬ sieau iusques a deux cens cheualiers armez pour arder aux leurs
1032	qui ja defailloit durement	qui ia defailloit moult durement	que auia lo peor		qui ia defailloient
1033	kar trop malement les menoit mesire Gauvain	quar malement les auoit menes mesires Gauuain	que muy malamente los auia traido don galuan		car trop malement les menoit mõseigneur gau uain
1034	Et quant il sont venu a l asamblee	Et quant il furent uenu a lafs lsamblee	e quando ellos llegaron al torneo		Et quanr ilz sont uenus a lassemblee
1035|1036	si le font|si bien	si le firent|si bien	e començaron a façer tan bien		si le font|si bien
1037|1038	que avant les fers de lon lances ne remaint chevaliers en sele qu il ne facent voler a terre;|si les destrainent	que deuant les fers de lor lances ne remanoit nuls en sele|Ains les font voler a terre|Si les encauchent			que apres eulx ne demouroet nul en selle quil ne feissent uoller a terre
1039|1040	si que a force covient a la gent le conte guerpir la place|kar trop sont cil	si que a fine force lor couuint guerpir la place|Car cil			Si que aux gens du conte conuint guerpir place Ei se en feussent fups
1041|1042	qui encontre els estoient;|si s en fuissent fui tot a	qui encontre euls estoient lez menoient moult mal		si torna immjantanente diverso loro per loro atare	
1043	quant mesire Gauvain recuevre	Et mesires Gauuain recueure			quant mõseigñr gau uain les recueure
1044	si bel	si bien	que ante		si beau
1045	que tuit se merveillent de sa proesce	que tuit cil de la place sen esmerueillent			que tous ceulx de la place sen merueillent
1046|1047	si s esforce tant a quelque paine|que si compaignon sont remis o lui	Si sefforce tant a|quel que paine|que si compaignon sont remes aueques lui	si non finco ome conquien topasen quelo non fiçiesen bolar atierra		Si sefforce tant a q̃lq̃ peine|que ses compaignons sont demourez a uec lui pour bien faire
		et remenent a lassamblee auec lui			
1048|1049|1050	Et lors vint a l assamblee le freres le conte des Broches|si amena avec lui bien trois cens chevaliers a;|et quant il aprocherent	Et lors uint a lassamblee li freres le conte|si amena bien auec luila iusques a|ccc|cheualiers|Et quant il aprocent del tornoiement	ansi queles conuino dexar la plaça a aquellos		Ors uint le frere du conte leq̃l amena auec lui bien deux cens cheualiers|Et quant ilz approucherent
1051|1052|1053|1054|1055|1056	si qu il n i ot|que del ferir|si vindrent|si randoneement qu il rechacierent ariere la maisnie le roi jusqu a lor lices;|mais iluecques se retindrent comme cil|qui molt estoient preudome s il ne fuissent	si quil ni ot|que del ferir|si uiennent|si rengiement kil reusent ariere la maisnie le roi iusca leur lices|mais illeukes se retindrent il comme cil ki mout estoient preudoume sil ne fussent	que contraellos yuan|quando don galuan aquello vido començo a façer tanto de armas|ansi que todos aquellos quelo vian se marauillauan mucho	si si cominciarono a sgridare	si ny eut q̃ du ferir|si qͥlz mainent les cheualier du roy iusques a leurs lisses|mais illec se tindient ung peu cõ¬ me preudes hommes
1057	si poi	si poi	e el puño tanto	Or qua	si ilz ne ilz ne feussẽt
1058|1059	si soffrirent une piece cels|qui de pres les enchaçoient	Si sousfrirent une piece ceus ki de pries les encauchoient com cil ki estoient a grant meschief	que fiço asus conpañeros cobrar la plaça		si peu Ei souffrirent une grant piece ceulx|qui les enchassoient
1060|1061	En ce qu il estoient a|si grant meschief		e tanto fiçieron consu esfuerço		
1062|1063|1064|1065|1066|1067|1068	si venoit aval les pres I|chevaliers armés d unes armes vermeilles|et fu|si sols qu il ne menoit avec lui escuier ne garçon e;|si commença a regarder le tornoiement|et vit les gens le conte t|qui trop bien se defrendoient com a tel meschief	Si uint vns cheualiers armes dunes armes vermeilles|& son escu fu aussi uermel|et fu|si seus quil ne menoit auec lui escuier ne garcon|Si commencha lez cheualiers a regarder|si vit les gens le contes|qui le faisoient trop bien	que lleuaron ala conpaña del rrey atras fasta las barreras|mas ellos|como buenos caualleros detubieronse ay defendiendose contra todos los otros|e si ellos no fueran tan buenos omes nunca pudieran tanto sufrir la proeza de galuan	gentil cavaliere|aiuta a quelli|che maggior mestier n ànnols	Ainsi quilz estoiẽt aual les pres ung cheualier arme de unes armes uer meilles|⁊ estoit lui seul|Ei cammenca a re¬ gardet le tournoiement|⁊ uit les gens du cõ ie|qui trop bien le faisoient
		& uenoit parmi les pres			
		Et quant il vint pres desll tornoiement			
1069|1070|1071	Et li chevaliers se torne maintenant devers les gens le roi|et quant li hiraut a le voient|si commencent a crier Or ça gentils chevaliers aide a cels	Et li cheualiers se torne maintenant vers le gent le roy|Et quant les dames le virent|si commenchierent a crier|or cha gentieuls cheualiers|si aidies a chiaus	e desus conpañeros|e ellos ental priesa estando he aqui|do viene decontra ayuso delos prados vn cauallero armado devnas armas vermejas|e el escudo otrosi vermejo		Et le cheualier se met deuers les gens du roy pourles aider|Et quant ceulx de dela le uirent erraumẽt cõmẽ cerent a crier Orsa gentil cheualier aide
1072	qui greignor mestier en ont	qui gregnor mestier en ont	e no venia conel escudero ninguno|e començo a catar el torneo	si mette tantosto nello aringo	⁊ noꝰ aidez nous
			e vio		
			como la conpaña defuera lo façia tanbien y entonçes se torno el cauallero contra la conpaña del Rey porle ayudar		
1073|1074	Et il se met tantost es rens encontre cels|que mesire Gauvain aidoit;	et il sen uait ades encontre chiaus|qui mesires Gauuain auoit aidies	e quando los|que mirauan el torneo lo vieron començaron de dar vozes|que ayudauan a don galuan	e ncontro a llui giunse monsignor Galvano atava	Et il se met tantost enleur aide|contre ceulx q̃ monseigneur gauuain aidoit
			e a dezir agora a jentil cauallero veni ayudar aquestos		
			que mas lo an menester entonçes se metio el cauallero contra aquellos		
1075	si tor laisse corre	Si lor laisse corre le cheual	e dexose correr aellos	ri lor lascia correre	Si leur laisse courre
1076	et abat le premier qu il encontre	et abat le premier|que il encontre	e derribo al primero|que encontro	e abatte el primaio|ch elli incontra	⁊ abat le pmier quil en contre
1077|1078|1079|1080|1081	et puis le secont|et puis le tiers ;|si fet|tant que d un glaive en abat Ilil|Et lors met la main a l espee	et puis le secont|& puis le tiers|& le quart	e despues al segundo|e al terçero|ansi que convna lança derribo quatro caualleros|e despues metio mano ala espada	e poscia el secondo|e poscia el terzo|si fa|tanto che d una lancia n abatte quatro|;vposcia mette mano alla spada	⁊ puis le second|⁊ te tiers|Si fait tãt q̃ de ung glaiur en abat quatre|Et lors mist la main a lespee
1082|1083|1084|1085	si se met en la greignor presse|et le fet|si bien al premier poindre|que il les fet tos resortir plus d une archiee ne nus nel voit	ne nus ne lencontre|que moult ne le redoute	e metiose enla mayor priesa|e fizo|ansi que dela primera espolonada|ca no auia y tal|que mucho non lo dudase	si ssi lancia nel miluogo della maggior pressa|e 'l fa|si bene al primaio pugnere|ch e' gli fa tutti risortire più d una arcata|	⁊ se mist en la greigneure p̃s se|⁊ le fait sibien au premier poindre|que tous les fait resortir|ne nul ne le uoit qͥ ne le doub te
				che nol ridotti	
			que conellos fizo los fiço Retraer atras		
			quanto vn tiro de vallesta		
1086	qui net redot lar il n ataint chevalier a droit cop a cui il ne face widier les arçons;		que al|que alcançaua aderecho golpe fazialo bolar delos arçones	ché non agiugne cavaliere a dritto colpo|che non faccia votare gli arcioni	
1087|1088	si haste|si ses enemis	Et cil	e tanto fiço ensus enemigos	Si studia|si suoi animici	Si hasse ses anemis
1089	que tuit li roial sont recovré par la proesce de lui e		que por fuerça fiço alos del rrey cobrar la plaça	che tutti i disconfitti sono ricoverati per la prodeza di lui	que tous les ropaux sõt recouuers par sa forche
1090	Et cil devers mon seignor Gauvain en sont	qui sont deuers monseignour Gauuain en sont	e mucho fueron desmayados dela parte de don galuan|quando vieron	e que' diverso monsignor Galvano sono	et ceul x de deuers mosieur gauuain sõt
				si isbigotiti	
				ch a poco	
1091	si esbahi qu a poi qu il ne s enfuient de la place	si esbahi ca poi quil ne senfuient	que por aquel cauallero dexauan|ansi la plaça	che non|si fugono della piazza	si esbahis|que a poy qͥlz ne sen fupent de la place
1092|1093	|qui as fenestres estoient des loges	Lors dient les dames|qui sont as fenestres	e todos los|que el torneo mirauan deçian	Allor dicono coloro|ch alle finestre delle logge sono	lors dient tous ceux
1094|1095	que tot vaint li vermals chevaliers celui|qui porte l escu vermeil al blanc lion a	que li vermauls cheualiers falilsoit tant darmes|que tout uaincoit le tornoiement	que el cauallero vermejo del escudo vermejo convn leon blanco lo vençeria todo entonçes fue vn donçel a don galuan	che tutto vince el vermiglio cavaliere|quelli|che porta lo seudo vermiglio al bianco lione	qui aux fe nestres estoiẽt quelecheualier uer¬ meil au lpon blanc a tout uaincu
1096	et	Et		e tanto	
1097|1098	tant que mesire Gauvain en ot la novele|qui s estoit alés aventer hors del tornoiement:	tant que mesires Gauuain en sot les noueles|qui sestoit ales esuenter dehors le tornoiement	que estaua fuera del torneo	che monsignor Galvano n à la novella udita|che s era andato a sventare fuori del torniamento|:	monsieur gau en oupt la nouuelle qͥ ung pou se estoit alle esuẽter
1099|1100	si li dist I|garçons	Si li dist vns valles	por coger ayre	si gliel disse uno garzone	Si luy dist ung garcon q̃ leans a ung cheualier le meilleur quil ueist õcques
1101|1102	que laiens a I|chevalier le meillor		e dixole señor vn cauallero el mejor	che là ha uno cavaliere	qui tout seul a uaincu le tournoiemẽt
1103|1104|1105	que l en veist onques mes|kar il tos sols a desconfite la gent le conte|et par Iui sont recovré li home le roi	que laiens a le meillor cheualier quilonques veist Nuant mesires Gauuain entent lez noueles del cheualier	que nunca vi vino al torneo|que a desbaratado todos los de vuestra parte|e la conpañia del Rey	el migliore|che l uomo vedesse unque mai|ch egli à tutto solo isconfitte le genti del re	Car ꝑ lup sont recouuers les hõmes du rop
1106|1107	qui orendroit estoient|si au desos qu il erent tuit desconfit b	qui si bien le Ofaisoit	que hera desbaratada a Cobrado porsu venida	ch oraindiritto erano|si al di suso|ch egli avieno tutti disconfitti	qui ores estoient au dessoulz
