,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
169,188,et rescosse des mains a ses enemis,et deliuree des mains a sez anemis,e libro anos denuestros enemigos,e riscossa delle mani di suoi animicib,et deliuree des mains de ses ennemis,et des mains de ses enuemys,et rescousse des mains a ses anemis
170,189,Et lors font descendre lor dame,Et lors font descendre la damoisele,entonçe los desçendieron a muy gran gozo,VAllora fanno discendere lor dama,Et lors font descendre leur dame,Et lors font descendre leur dame,et lors font dessendre lor dame
171,190|191,et lui avec :|si ne vos porroit nus conter la joie,et lui auekes|si ne porroit nus conter la grant ioie,e alegria façiendo con boores,e lui apresso|si non potrebbe mica l uom contare la trasgran gioia,et lui auec|Si ne pourroit nul homme compter la grant ioye,et luy auec|si ine uous pourroit nul compter la grant ioye,et lui auec|Si ne uos porroit nus comper la ioie
172,192,qui li fu fete,qui li fu faite EN tele ioie,asi que el se marauillaua ende mucho,che gli fu fatta,qui leur fut faicte,qui luy fu faicte A telle ioye,qui li fu faite
173,,,,,,,,A tel ioie
174,,,,,In tal gioia,,,
175,193|194|195|196,et a tel feste enmainent Boort jusqu al palés del chastel|si le font desarmer ou il volsist ou non|et il le fist a envis|kar il n estoit encore mie tens de herbergier,& en tele feste com vous oliles enmenerent bohort en vne moult bele sale|et les tables furent mises,e las Mesas fueron puestas|e asentaronse a comer|ca mucho lo auian menester,e in tale festa ne menarono Boordo insin qua il mastro palagio del castello|si l fanno disarmare o volesse O non ed elli il fece ad invidia ché nonn era mica ancor tempo d albergare,A telle ioye menerent boort au pallais|Et quant ilz eurent mengie la damoiselle lui demanda comment il auoit nom,et a tel feste emmainent boort iucquez au maistre palais du chastel|si le font desarmer uoulsist il ou non|et il le fist a peine|car il nestoit pas encor temps de herbreger,et a tal faite en mainnent behort|ducau palais dou chastel|Si le font desarmer uossist ou non|et il le fait moult enuiz|Car il nestoit mie eure ne tans de h̾bregier
176,197|198|199|200|201,Ensi remist Boors laiens|si li firent grant joie li un|et li autre|Et quant il orent mengié|a damoisele demande a Boort comment il avoit non ét ¡l dist qu il avoit non Boors li Essilliés,si alerent mangier|Et quant il orent mangie|La damoisele demanda bohort comment il auoit non|Et il li dist quil auoit non bohors li escillies,e desque ovieron comido la donçella le pregunto|e dixo le señor|si vos pluguiere querria saber vuestro nombre|porque sepa dezir quien me fiço tanto bien donçella dixo boores yo he nombre boores el deseredado,si gli feciono molto gran gioia|e l uno|e l altro|eE quand egli ebono mangiato a gran festa la damigella domandò Boordo com'egli avea nome ed e' le risponde,Et il respendist quil auoit nom boort le essillie|et si estoit cousin germain de lancelot du lac,Ainsi demeure boort leans|si luy firent moult grand ioye les ungs|et les autres|Et quant il eurent mange la damoisele luy demande comment il auoit nom,ensi remest laiens|si li firont grant ioie|et li un|et li autre|Et quant il orrent mengie: la damoisele demande comment il auoit non
177,202|203|204|205|206,Et vos fet il|damoisele quels est li vostre nons|? — Sire fet ele|je ai non Blevine de Glocedun issi a non cist chastials ou nos somes|A ces paroles qu il disoient es vos I escuier,Et vous dame fait il comment est vostres nons|Sire fait elle iou ai a non benigne|? de Glochedon|Et ensi a a non chis chastiaus|A ches paroles quil disoient es vous vn escuier,e vos donzella dixo el|como auedes nombre señor dixo la donçella yo he nombre velniña de glaçendo|que asi a nombre el castillo enque estamos Ellos,ch egli à nome Boordo il Diseritato|? — Sire diss ella i' ò nome Blivina di Glocedin|e nsì à nome questo castello ove noi siamo|A queste parole|ch elli dicieno ed e' vidono venire uno scudieri,Et uous dame|quel est uostre nom|Sire fait elle iay nom benigne de glacedon|et ce chasteau cy ou nous sommes a aussi nom glacedon|ces parolles quilz disoient uecy ung escuyer,et il luy dist|que il auoit nom boort lessille|Et uous fait il damoisele|quel est uostre nom|Sire fait elle iay nom blocedin|Ainsi a nom ce chasteau ou nous somes,etil li dit|et uos comment fait il damoisele Sire fait ele iai non uenyne de glocedras ainsis a non li chastias ou nos somes A ses paroles|que il dissoient euousa|escuer
178,207,qui laiens entre,qui laiens entra,ansi fablando llego vn escudero porla puerta,che là entro venia,qui entra leans,qui entre leans,qui laiens entre
179,208|209|210,si s agenoille devant la damoisele|Dame fet il la damoisele de Honguefort vostre cosine vos salue|et vos mande qu ele vient herbergier o vos,si sagenoille deuant la damoisele|& l dist|Dame : la dame de hongrefort vous salue|& vous mande|que elle veult anuit herbergier o vous,e finco los ynojos ante la donçella|e dixole señora la donçella de hongeforte vos ymbia a saludar,si s aginocchia davanti la damigella|Dama diss elli mia dama la damigella di Unguelforte vostra cugina vo saluta|e vo manda|ch ella viene ad albergare con esso voi,si se agenoille de uant la damoiselle dame fait il madame de honguesfort uous sallue|et uous mande|que elle se ueult ennuyt logier auec uous,et sagenoille deuant la damoisele|dame fait il madame la damoisele de hunguefort uoustre cousine uous salue|et uous mande quelle uient|et herbregera o uous,et sa genoille deuant la damoisele|Dame fait il madame la damoisele De honguefort uostre cousine uous salue|Et uous mande|que ele uient herbregrer o uus
180,211,Et quant cele l entent,Et quant cele lentent,,E quando quella lo ntende,Et quant celle lost,et quant elle lentend,Et quant cele lentant
181,212,si saut sus,si saut sus,e ymbiavos deçir,si salta suso,,si sault sus,si saut sus
182,,,si ioieuse,,,,,
183,213,si liee,& si lie,que esta noche ven conbusco albergar,si lieta,,si liee,si lie
184,214|215|216,et si joiose|que nule plus|et demande al vaslet ou ele est,que nulle plus|Si demande a lescuier ou elle est,e quando la donçella esto oyo fue muy alegre|e pregunto al escudero,e si gioliolsa|che nulla più|e domanda al valletto ov'ella est,si demande a lescuyer ou elle est dame fait il a demye lieue de cy,et si ioyeuse|qui plus ne puet|et demande au uarlet ou elle est,et si ioeuse con ele puet plus|et demande au uarlet ou ele est
185,217|218|219|220,Dame|fet il a mains de demie lieue pres de ci|Et ele fet maintenant sa sele metre|et dist qu ele ira encontre li;,Dame ce dist cil a demie lieue pres de chi|Iors fait maintenant sa sele mettre|& dist|que elle yra encontre li,do era señora dixo el escudero yo la dexe a media legua de aqui|e la donçella mando,Dama diss elli ella est a meza lega presso di qui|Ed ella fa immantanente sua sella mettere|e disse|ch ella andrà incontro a llei,et elle mente sur son cheual auec quatre cheualiers,Dame fait il elle est a demye lieue pres de cy|et elle fait adonc mectre la sele a dist quelli yra encontre luy,Dame fait il a mains de demi lieu pres de ci|et ele fait maintenant sa sele mestre|et dit|que ele ira encontre
186,221|222|223|224|225|226|227|228,si monte|et maine o li|VI|chevaliers|et Illl|en laisse|por fere compaignie a Boort ;|si se part atant de laiens,Si Lmonte maintenant|& vi|cheualier aueques li|&|iiij|escuiers|Et si laisse auec bohort|iiij|cheualiers|por lui faire compaignie|& puis sen ist de laiens,luego ensillar|e fuese con seis caualleros ala rreçebir|e dexo a boores con quatro caualleros porle fazer conpaña,si monta|e mena con lei v|cavalieri|e quatro cavalieri d agio lascia in compagnia di Boordo|si si parte atanto di là entro,et quatre escuyers pour aller a lencontre de la dame|et si laisse quatre cheualiers auec boort pour luy faire compagnie mes boort,Si monte|et mainne o lie|u|et en laisse quatre|si se part adonc de leans,Si monte|et mai̾na|ui cheualiers auecques li|et|iiii|en laisse|por faire compangnie a behort|si se part de laiens
187,,,,,,,,entre li
188,,,,,,,,et sec cheualiers
189,229,Mes Boors,Et bohors,,Ma Boordo,,mais boort,Mais behort
190,230|231,qui les noveles a of̈es de cele de Honguefort|si ne set,qui lez noueles ot entendues de la dame de hongrefort ne set,e quando boores sopo quela donçella de ongeforte venia no sabia,che lle novelle àe avute di quella d Unguelforte non sa,qui les nouuelles a entendues de la dane de honguesfort ne scait,qui a ouy les nouueles de celle dunguefort ne seut,qui les noueles ot oiez de cele de honguefort ne set
191,232|233|234|235|236,que fere|kar se il remaint laiens ne puet estre|que l en nel conoisse|et ce ne voldroit il|por rien:,que faire|quar bien set|que elle le connistra|Et chou ne voldroit il pas,que façer|ca no queria aquelo conoçiese|si pudiese ser,che fare ché se rimane là entro e' non può essere|ch ella non lo cognosca|: ciò non vorebbe elli per nulla cosa,que faire|si pense longuement|car il ne ueult pas estre congneu,que faire|car sil remaint leans il ne puet estre quelle ne le cognoisse|et ce ne uoudroit elme pour nul rien,que faire|Car cil remaint laiens il ne puet estre|que len ne le quenoisse|et si ne uodroit ce|por rien
192,237|238,si pense longuement a ceste chose|Quant il ot une piece pensé,si pense a cheste chose moult longement|Et quant il ot pense,e penso,si pensa lungamente a questa cosa|eQuand egli à gran peza pensato,et quant il a longuement pen se,si pense longuement a ceste chose|Quant il a grant piece sis en paix,Si se pance longuement ace
193,239,si se drece en estant,si se lieue en son estant,asi enesto mucho,si si diriza in istanti,si se lieuue en son estant,si se die ce en estant,et se dresce en estant a ce
194,240|241|242,et demande ses armes tost|et isnel|Sire font cil,si demande sez armes|Sire font cil,e a cabo de Pieça demando sus armas señor dixeron los caualleros,e domanda sue armi tosto|e snello|VaSire dissono coloro,et demande ses armes|Sire sont ceulx,et demande ses armes tost|et isnel Sire font ceulx,et demande ses armes|tost|et inel|Sire font cil
195,243,qui avec lui estoient qu en volés vos fere,qui aueques lui estoient pourcoi vous voles vous armer,que conel estauan|que para,che con esso lui erano|che volete voi fare,,qui auec luy estoient|que uoulez uous faire,qui auec lui estoient quen uoles uos faire
196,244|245|246,? — Je me vueil|fet il un poi aler esbatre jusqu a cel boschel|si revendrai orendroit,Iou me voel fait il aler esbatre iusken cel bosket|si reuendrai maintenant,que las queria yo me Quiero armar dixo boores Porme yr a solazar a aquel montezillo|e luego me tornare,? — l' mi voglio diss elli andare a sbattere un poco in quello boschetto|si ritornerò oraindiritto,qui auec luy estoient pour quoy les demandes uous ie me uueil fait il armer pour moy aller esbatre iusques en ce bochel mes ie reuendray tantost,Ie me uueil fait il ung pou aller esbatre iucqua ce boys|si reuiendray tantost,Ie men ueil fait il aler|i pou esbare iusqua cele forest|et reuandrai orendroit
197,,,,,,,,et cil
198,247|248,Cil n osent son commandement refuser|si aportent ses armes,Et cil nosent son commandement refuser|Si li aportent sez armes,e ellos no osaron su voluntad contradeçir,E que' non osano suo comandamento rifiutare sì gli portano sue armi ed e' le prende,et ceulx nosent reffuser son commandement lors luy apportent ses armes,ceulx nousent refusrr son commandement|et apportent ses armes,qui nosent son Ꝯmandement escondire Li aportent
199,249,et il les prent,,e truxeronselas,;,,et il les prent,et il les prant
200,250|251,Et quant il est armés|si monte en son cheval a,Et il sen arme|puis monte sor son cheua,e el se armo|e desque fue armado salio porvn postigo|que estaua contrael monteçillo,e quand egli è armato e' monta in suo cavallo,et quant il fust arme,Et quant il est arme|si monte a cheual,et quant il est armes|si se part de laiens par la poterne par deuers|i
201,252,si se part de laiens par une posterne par devers le boschel ne ne velt,& se part de laiens|et ne veult,e no quiso,si si parte di là entro per la postierna diverso il boschello né non vuole,si sen part de le ans par la posterne uers ung petit bosc|et ne ueult,et se part de leans par la pousterne deuers le chastel ne ne ueult,bochet|si ne uoet
202,253,que nus li face compaignie,que nus li face compaignie,que fuese conel ninguno,che nullo gli faccia compagnia,que nul luy face compagnie,que nul luy face compaignie,que nus li face compongnie
203,,,,,,,,et
204,254|255|256,Et quant il est l|poi eslongiés del chastel|si torne a destre vers une forest qu il voit haute,Et quant il est vn petit eslongies|si sen torne vers vne haute forest|quil vit haute,e desque fue vn poco alongado Metiose porvna floresta|que vido muy espesa|quanto el cauallo lo pudo lleuar,quand egli è un poco islungato del castello|si torna a destra partita per diverso una foresta|ch elli vide alta,Et quant il est ung pou eslongnie il tourne uers une forest grande,Et quant il est ung pou esloigne du chastel|si torne a destre partie uers une fourest quil uoit haute,quant il est i po eslongniez dou chastel|si torne a destre par deuers une forest haute
205,257,et espesse,& espesse,e el,e spessa,et espesse,et espesse,et espesce
206,258,et s en vet al ferir des esperons;,& sen vait au ferir des esperons,,si vi|si mette al fedire delli sproni,,si sen ua au ferir des esperons,et sen ua au ferir des esperons
207,259|260,si se fiert en la forest|et eirre tant qu il li anuite ;,et se fiert en la forest tant quil,ansi yendo oyo vna canpana tañer,e si fiede nello spesso della foresta|e va tanto|ch elli anottò,si fiert des esperons|et sen entra dedens,et se fiert en la fourest|et erra tant qͥl anuyta,Si se fiert en la forest|et erre tantquil li anuitie
208,261|262|263,et lors escote|si ot une cloche soner|et il sot bien tantost,si anuite|Lors oy vne cloche sonner|et sot bien tantost,e luego cuido quela tañian en alguna hermita|e el fue alla,AIlora ascolta sì ode una campana sonare ed e'sa ben tantosto,et cheuaucha|tant que la nuyt uint|Il ouyt une cloche sonner|si pense tantost,Et lors escoute|si ouy sonner une cloche|si sceit bien tantost,et lors escoute|si oit une cloche soner|et il seit bien
209,264,que c estoit hermitages:,que ce estoit vns hermitages,e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir,che ciò è romitaggio|:,que cest ung hermitage,que cest hermitage,que cest hermitages
210,265,si s en torne cele part,si torne cele part,e acogiolo|porque vido,si ritorna in quelle parti,il sen alla celle part,si se tourne celle part,si se torne cele part
211,266|267,et descent a l uis|si apele,& descent a luis|& apele,que hera cauallero andante,e discende a l uscio|si chiama,et puys frappa a luys,et descent a luys|si apelle,et descent a luis|et apele
212,268|269,et li hermites li oevre son huis|si a le reçoit a bele chiere,Et hermites le rechoit a bele chiere,e el mesmo lo ayudo a desarmar,e l romito gli apre l uscelletto|si llo riceve a bella cera,et lermite le rechoit a belle chere,et lermite luy euure|et le recoit a belle chiere,et li ermites li ouure|et le resoit a mout bele chiere
213,270|271|272,et le desarme il meismes|puis vet cueillir de l erbe al cheval|et por fere lit al chevalier,et le desarme il meismes|& puis vait coillir de lerbe pour le cheual|& fait le lit au cheualier Nsi est remes bohoors chies le prodomme,e desque lo ovo desarmado cogio dela yerua Parael cauallo|Ansi finco enla hermita,e l disarmò elli medesimo|; poscia va a cogliere dell erba al cavallo lel per fare el letto del cavaliere,et le desarma|et puys cueillit de lerbe uerte pour le cheual|et fist le lyt au cheualier,Ainsi est demoure Comme boot demoura chex lermite|che tant quelle fu partie de son chastel,et le desarme il meismes|et puis ua cuillir de lerbe il meismes|por le cheual|et por faire lit au cheualier Ainsi est bohort retrais chies lermite|et la damoisele de glocdon cheuauche
214,,,,,,Insi est boort demoure auec lermite,,
215,,,,,ilnsi rimase Boordo a casa il romito,,,
216,273,et la damoisele de Glocedun chevalcha tant a qu ele encontra cele de Honguefort;,Et la damoisele de Glochedon tcheualche|tant que elle encontre cele de hongrefort,e la donçella de glaçedon andubo tanto fastaque encontro ala señora de ongeforte,e la damigella di Locidin cavalca tanto|ch ella fu partita di suo castello,et la damoiselle de glacedon a tant alle quelle encentra celle de honguesfort,et quelle encontra celle boort chex lermite|et la damoisele de glossedin cheuaude hunguefort,quant ele fu partie de son chastel|tant que ele encontre la damoiselle de honguefort
217,,,,,ch ella trovò quella d Unguelforte,,,
218,274,si s entresaluent,si sentrefont moult grant ioie,e ellas se saluaron,Si|si trasalutano ma molto,si sentresalluerent,si sentresaluent,si sentre saluent
219,275|276|277,mais molt se merveille cele de Glocedun|quant ele voit sa cosine|si atornee,Si sesmerueille moult cele de glochedon|quant elle voit sa cousine ensi atornee,e la donzella De glazedon se marauillo mucho|quando vido|asi venir asu parienta,si maraviglia quella di Glocedin quand ella vide sua cugina|si aconcia,Et quant celle de glacedon uoit sa cousine,mais celle de glossedin se merueille moult|quant elle uoit sa cousine|si atournee,mais moult ce merueille la damoisele de glocedun|quant ele voit sa cosine|si atornee
220,278|279,et tote sa maisnie:|si li demande l acheison,et toute sa maisnie|Si li demande locoison,e a todas su conpaña|e preguntaronle la Razon,e tutta sua masnada|si non|si può tenere,et toute sa mesgnie ainsi atournee elle sen merueille monlt sy lui demande lachoison,et toute sa mesgniee|si luy en demande lachoison,et tote sa mainiee ausi|Si li a demande lacoison
221,,,,,ch ella non la domandi la cagione,,,
222,280,et cele li conte de chief en chief,Et elle li conte lauenture de chief en chief,porque hera aquello,E quella le conta di capo in capo,et celle luy compte toute la uerite,et elle luy comta de chief en chief,et cele len conte la uerite de chief en chief
223,281|282,et dist|que jamés ne finera d errer jusqu el ait le chevalier trové,Et dist|que iamais ne finera desrer,asi e la donzella de ongeforte selo conto todo de cabo a cabo Como le contesçio conel cauallero,e dice|che giamai non finirà d andare infino a tanto|ch ella abbia il cavaliere trovato,et dist|que iamaiz ne finera de errer iusques a tant quelle aura trouue le cheualier,et dist|que iamais ne finera derrer iucqua tant quelle ait trouue le cheualier,et dit|que iamais ne finera derrer|tant que ele ait le cheualier troue
224,283,et bien sachiés fet ele bele cosine,deuant|que elle asulra troue le cheualier,e mi buena parienta bien sabed,e ben sapiate bella cugina,et sachiez belle cousine,et bien sachez fait elle belle cousme,et bien sachiez bele cosine
225,284,que c est li plus bials chevaliers,Car cest li plus biaus,que el es el|mas fermoso cauallero,che ciò è il più bel cavaliere,que cest le plus beau,que cest le plus bel cheualier,que cest li muxdres cheualiers
226,285|286,et li mieldres|que je onques mes veisse,& li mieudres|que iou onques veisse,que nunca vi,e l miglior|ch io unque vedessi,et le meilleur|que ie ueisse on ques,et le meilleur|que ie ueisse oncquez mais,et li plus biax dou monde
227,287,et si est encore jovenes enfés;,et si est iouenes enfes,e nunca quedare de andar|asi fasta quelo falle,si è ancora giovane infante,et sy est encore ione enfant,et si est encores ienne enfant,et si est encore iones enfes
228,288|289,si ai tel duel|quant il me membre de la vilenie,Si ai tel doel|quant il me membre de la vilonnie,ca sabed|que el es el mejor cauallero Del mundo,; sì ò tal duolo qualunche ora mi ricordo della villania,si ay tel deul|quant il me souuient de la uillanie,si ay tel deul|quant il me menbre de la uilenie,Si ai tel duel|quant ie mamenbre de la uilenie
229,290|291,que je fis qu a poi|que li cuers ne me part el ventre,que iou li fis|que a poi|que li cuers ne me part del uentre,e mas cortes,ch io gli feci|ch a poco|che l cuore non mi|si sface nel ventre,que ie luy feiz|que a pou|que le cueur ne me part du uentre,que ie luy feis qua pou|que le cuer ne me part ou uentre Certes belle cousine fait celle de glocedin|sil uous aduint belle auanture il ne mest pas huy aduenue belle,que ie li fis: ca pou Li cuers ne me part|En non dieu bele cosine fait cele de glocedun|Si uos auint bele auanture: il ne mest pas hui auenue mains bele
230,,,,,,Eu nom dieu belle cousine fait celle de glacedon,,
231,,,,,,sy uous est aduenu belle auanture,,
232,,,,,,il ne men est pas aduenue une moins belle,,
233,,,,,— A nome di Dio bella cugina s elli voi avenne bella aventura e' non m è oggi passo avenuta men bellab,,,
234,,,Enon dieu bele cousine fait cele de glochedon sil vous est auenue bele auenture elle ne mest mie auenue mains bele,,,,,
235,292,Si li conte tot ensi com il li estoit avenu,Si li conte comment il li estoit auenu|Et li dist,e es muy niño|e quando me mienbro dela descortesia,i lle contò tutto insi come l era avenuto|e disse,Sy luy compte tout ainsi comment il luy estoit aduenu,Si luy compte tout ainsi comme il luy est aduenu,Si li conte coument il li est auenu
236,293|294,et dist qu ele a le chevalier herbergié|mais bien sachiés fet ele,que elle auoit le cheualier herbergie|mais bien sachies,e dela villania,ch ella ha albergato il cavalierema ben sapiate,et dist quelle auoit herbegie le cheualier|et uous dys bien,et dist quelle a herbrege le cheualier|Mais bien sachez fait elle,et dit|que ele a le cheualier herbregre|et bien sachiez
237,295|296,que c est li plus bials chevaliers|que je onques mes veisse,que cest li plus biaus cheualiers del monde,que contrael fiz el corazon seme quiere quebrar enel cuerpo Pardios mi buena parienta dixo la dueña de glozendo mucho vos a acasesçido buena ventura,ch egli è el più bel giovane|ch io unque mai vedessi a mi' sciente,que cest le plus beau cheualier du monde,que cest le plus bel cheualier|que ie ueisse oncque,que cest li plus biax cheualiers|que ie onques ueisse
238,297,et jovenes durement ;,et iouenes est il durement,e ami non a venido menor,si risembra gentile huomo duramente,,mais et fort ienne,et iosnes durement
239,298|299|300,si li devise sa façon|et son grant|et sa mesure tant qu a cele de Honguefort est avis,Si li deuise sa fachon|et son grant|Tant que a celer de hongrefort samble,e luego le conto|como auia acaesçido conel Cauallero,Si lle divisa sua fazione|e suo grande|e sua misura|tanto che a quella d Unquelforte est aviso,sy lui deuise sa facon tant quil est aduiz a celle de honguesfort,si luy deuise sa facon sa grandeͬ|et sa mesure tant quil est aduis a celle de hunguefort,Si li deuisse sa fason|et son grant|et sa mesure|Tant que a cele de honguefort est auis
240,301,que c est cil qu ele quiert,que che soit cils|que elle quiert,que conella albergara,che ciò è quelli,que cest celuy quelle quiert,qui cest cil quelle quiert,que ce est cil|que ele quiert
241,302|303,si li tarde molt qu ele le voie|si descendent la damoisele molt honorement,Si li est moult tart|que elle le voie|Si cheuauchent|tant que elles sont uenues au castel,mas bien sabed,ch ella chiede si'lle tarda molto|ch ella il vega|Insi cavalcano tanto|ch al castello sono venuti|si discendono la damigella molto honoratamente,si luy tarde quelle le uoie En telle magniere cheuauchent tant quilz sont uenues au chastel|si decendent la damoiselle monlt hounourablement,si luy tarde moult quelle ne le uoit|Ainsi cheuauchent tant quilz sont uenuz au chastel|si descendent la damoisele moult honnoureement,si li tarde moult quele le uoie|ainsi cheuauchent|tant que au chastel sont uenues|Si dessandent la damoisele de honguesfort moult honorablement
242,304,et molt font grant joie de li,,que es el|mas fermoso cauallero,e molto fanno grande gioia di lei,et font grant ioye de celle de honguesford,et moult font grant ioye de luy,et moult font grant ioie de li
243,305|306|307|308|309|310,Et lors sont montees el palés;|si demande cele de laiens ou ses ostes est|Par foi font|si chevalier ¡l s en vet orrendroit tos armés fors de cest chastel|mais il nos dist qu il revendroit tantost; n onques|por nul pooir ne volt soffrir,& puis montent el palais|Si denande la damoisele de laiens ou sez ostes estoit|Par foy dame font li cheualier de laiens il sen va orendroit tous armes hors de chest chastel|mais il nous dist quil reuendroit tantost|ne onques pour nul pooir ne volt soffrir,Que Nunca vi|e es muy mançebo|e luego le conto las façiones del tanto quela dueña de ongeforte entendio,si domanda quella di Glocedin ove suo oste est|: Per fé dissono suo' cavalieri e' se ne va oraindiritto tutto armato fuori di questo castello ma e' no disse|che ritornerebbe tantosto né unque per preghieri non volle soferire,lors sont mentees au pallaiz|si demande la damoiselle de leans ou est son hoste|deuray dirent les cheualiers de leans Il sen ua orendroit tout seul arme hors de ce chastel mes il nous dist quil reuendroit tantost|ne onques ne uolt souffrir,Et lors sont montez ou palays|si demande celle de leans ou est son hoste|par foy font ces cheualiers il sen uait orendroit tout arme hors de ce chastel|mais il nous a dit quil renuiendra tantost,et lors sont montees el palais amont|Si demande cele de laiens ou ses ostes est|par foi font cil cheualier il sen ua maintenant tous armes fors de cest chastel|mais il nous dit|que il reuanroit tantost|ne onques|por nul pooir ne uost souffrir
244,311,que nus de nos alast avec lui,que nus alast aueques lui,que hera el cauallero,che nullo di noi andasse con esso lui,que nul allast auec luy,,que nus alast auec lui
245,312|313|314,—|Quel part s en ala il|? fet ele,Et quel part ala il fait elle,que ella andaua buscando,—elln quale parte se ne va|? diss ella,si a prins sen chemin uers ce bochel,Quelle part est il alle fait la dame,que part sen ua il fait ele Dame font il uers cest bochet
246,,,,e mucho sele tardaua delo ver,,,,
247,315|316,— Dame font il vers cel boschel|— Or tost fet ele montés alés aprés lui,Dame font il vers chest bosket|Or tost fait elle montes|si ales apres lui,asi fueron ental manera fablando|Que llegaron al castillo|e rresçibieron todos ala donçella de ongeforte muy honrradamente,— Dama dicono elli inverso quello bosco|— Or tosto diss ella montate|e andate apresso lui,Or tost dyt la dame montes sy alles apprez luy,Dame font ilz uers ce boys|Or montez tost fait elle allez apres,Or tost montes illec apres
248,317|318|319,si le nos ramenés|Lors sont monté li X|chevalier,si le me amenes arriere|LOrs sont monte tout li cheualier,e fizieron gran gozo conella|e la donçella del castillo pregunto|luego porsu huesped|Por buena fee dixeron los caualleros|que auian fincado conel tomo sus armas,si l noi rimenate ll Allora sono montati tutti|e dieci i cavalieri,et le ramenes arriere|Lors montent tous les cheualiers,et le ramenez Lors sont montez tous les dix cheualiers,si le nous ramenez|Loes sont monte|x|cheualier
249,320,et vienent jusqu al boschel,et sont uenu au boskel,e fuese a deportar a aquel montezillo,e vengono Sin qua quel bosco,et uiennent iusques au bochel,et uiennent au boys,et uiennent iuscau bochet
250,321,si le cerchent amont,et cerkent amont aual,mas luego dixo,si 'l cercano a monte,et le chercent ament,si le sercherent amont,si le serchent amont
251,322,et aval mes del chevalier ne pueent riens trover,mais le cheualier quil quierent ne poent trouuer,que se vernia Mas nunca|por alguna manera Podimos,e a valle ma del cavaliere non possono elli unque trovare,,et aual|mais le cheualier ne peuent ilz pas trouuer,
252,323|324,si en sont molt irié|et dolent,Lors reuienent a lor dame|& li dient,que nos sufriese,eSi ne sono molto adirati|e molto crucciati,et aual,,et aual
253,325|326,et mandent a lor dame qu il ne le pueent trover|En non Dieu fet ele ensi ne remandra il pas,que il ne seuent quil est deuenus|Enon dieu fait elle ensi ne remandra il mie,que fuesemos conel a qual parte fue dixo la donçella del castillo aquel montezillo dixeron ellos,e mandano a llor dama|che nol possono trovare|“h«A nome di Dio diss ella insì non rimarrà e' passo,mais ne le peuent trouuer|Eu nen dieu fait elle il ne demoura pas ainsy,si le mandent a leur dame quilz ne le peuent trouuer En nom dieu fait elle anisi ne demeurra il pas,mais del cheualier ne pueent point trouer|En non dieu fait ele ainsi ne remandra il pas
254,327,Si monte,Si monte,e luego mando alos diez caualleros quelo fuesen alla a buscar,Si monta ella,si monte elle,si monte elle,si mente ele
255,328,et tote sa maisnie,et toute sa maisnie aueques li,e ellos lo fiçieron,e tutta sua masnada,et sa mesgnie,et toute sa mesgniee,et coure sa mainie
256,,,,,si vi viene,,,
257,329,et commande a cerchier le bois de totes pars,si com¬ menchent a cerkier le bosils de toutes pars,ansi ca anduuieron todo el mon teçillo arriba,e comanda a cercare il bosco di tutte parti|sEd,et commencent a chercer le bochel de toutes pars,et commande a sercher le boys de toutes pars,et comande a cenhier le bois de toutes pars
258,,,,e ayuso Mas nunca lo pudieron fallar,,,,
259,330|331|332,et il en font son commandement|Mais tot ce ne lor valt riens|kar il n'em puent avoir nul asenement a,mais che ne lor valut riens Car il nen pueent oir nulles enseignes vraies,e tornaron|e contaronselo|ansi asu señora Pordios dixo la donçella ni poresto no fincara|e luego Caualgo con toda su conpaña|e fuese Al montezillo|e fizolo çercar de todas partes|mas nunca lo pudieron fallar,e fanno suo comandamento ma tutto ciò no lle vale nulla|ch elli non ne possono ora avere nullo asennamento del mondo,et prie aulx cheualiers quilz le chersacent mes ce ne leur ualust riens|car ilz nen porent ouyt nulle uraie enseigne,et ilz font son commandement|mais tout ce ne leur uault riens|car ilz nen peuent ouyr nul assignement du monde,Et il font son commandement|Mais tout ce ne lor uaut rien|Car il ne pueent trouer nul a lanement dou monde
260,333|334,Quant ele vit ce|si s en retorne en son chastel dolente,Et quant la damoisele voit chou|si sen retorne a son castel dolante,e quando ella aquello vido tornose asu castillo muy triste,eE quand ella vide ciò|si se ne torna in suo castello dolente,Quant elle uoit ce|si sen retoure en son chastel dollente,Et quant elle uoit ce|si sen retourne en son chastel doulente,Quant ele uoit ce:|si en retorne en son chastels
261,335,et corociee,et corouchie,e muy sañuda,e crucciata,et courroucee,et couroucee,
262,336,et conte a cele de Honguefort comment ses ostes s en estoit alez,et conte a cele de hongrefort comment sez ostes sen estoit partis de laiens,e contolo|ansi ala donzella de hongeforte Como su huesped hera ydo,e conta a quella d Unguelforte come suo oste se n è andato,et compte a celle de henguesford comment son hoste sen est alle puys demande a ceulx de leans,Et compte a celle de hunguefort comment son hoste sen est alle,et conte a cele de honguefort comment ses ost en est alez
263,337,puis demande a cels de laiens Bials seignors,Puis demande a chiaus de laiens|Biau seignor,e la donzella les pregunto,Poscia domanda a que di là entro|: Be' signori,Beaux seigneurs,et puis demande a ceulx de leans beaux seigneurs,et puis demande a ciax de laiens oiez signor
